name,rating,price,capacity,price/gb,type,cache,form factor,interface,link
Samsung 970 Evo Plus 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,$99.99,1 TB,$0.100,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B07MFZY2F2?tag=bgfg-pc-builder-us-20
Samsung 990 EVO Plus 4 TB M.2-2280 PCIe 5.0 X2 NVME Solid State Drive,,$249.99,4 TB,$0.062,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X2,https://www.amazon.com/dp/B0DHLBDSP7?tag=bgfg-pc-builder-us-20
"Seagate IronWolf Pro 24 TB 3.5"" 7200 RPM Internal Hard Drive",,$656.01,24 TB,$0.023,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B0CSPCFKR9?tag=bgfg-pc-builder-us-20
Samsung 990 EVO 1 TB M.2-2280 PCIe 5.0 X2 NVME Solid State Drive,,$89.98,1 TB,$0.090,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X2,https://www.amazon.com/dp/B0CRCC9863?tag=bgfg-pc-builder-us-20
Kingston NV2 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$137.94,2 TB,$0.069,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0BDTC589G?tag=bgfg-pc-builder-us-20
Crucial P3 Plus 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$399.00,4 TB,$0.100,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0B25M8FXX?tag=bgfg-pc-builder-us-20
Kingston NV2 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$42.99,500 GB,$0.086,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0BBWJH1P8?tag=bgfg-pc-builder-us-20
"Seagate BarraCuda 4 TB 3.5"" 5400 RPM Internal Hard Drive",4.6,$72.97,4 TB,$0.017,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B071WLPRHN?tag=bgfg-pc-builder-us-20
TEAMGROUP MP44L 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$134.99,2 TB,$0.067,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0B9Y48V73?tag=bgfg-pc-builder-us-20
Patriot P300 512 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,$49.31,512 GB,$0.068,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B082BJ4679?tag=bgfg-pc-builder-us-20
Western Digital WD_Black SN850X 8 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,8 TB,$0.106,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Western+Digital+WD_Black+SN850X+8+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Western Digital Caviar Blue 1 TB 3.5"" 7200 RPM Internal Hard Drive",4.7,$39.89,1 TB,$0.040,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B0088PUEPK?tag=bgfg-pc-builder-us-20
