name,rating,price,capacity,price/gb,type,cache,form factor,interface,link
"Toshiba MD06-V 8 TB 3.5"" 7200 RPM Internal Hard Drive",,,8 TB,N/A,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Toshiba+MD06-V+8+TB+3.5%22+7200+RPM+Internal+Hard+Drive&tag=bgfg-pc-builder-us-20
"Toshiba DT02-V 2 TB 3.5"" 5400 RPM Internal Hard Drive",,,2 TB,N/A,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Toshiba+DT02-V+2+TB+3.5%22+5400+RPM+Internal+Hard+Drive&tag=bgfg-pc-builder-us-20
"Toshiba DT01-V 3 TB 3.5"" 5940 RPM Internal Hard Drive",,,3 TB,N/A,5940 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Toshiba+DT01-V+3+TB+3.5%22+5940+RPM+Internal+Hard+Drive&tag=bgfg-pc-builder-us-20
Seagate FireCuda 520 Rev 2.0 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$160.00,500 GB,$0.320,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0BLT45QCT?tag=bgfg-pc-builder-us-20
Inland TN436 512 GB M.2-2230 PCIe 4.0 X4 NVME Solid State Drive,,,512 GB,N/A,SSD,N/A,M.2-2230,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Inland+TN436+512+GB+M.2-2230+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Inland Enterprise 480 GB 2.5"" Solid State Drive",,,480 GB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Inland+Enterprise+480+GB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Inland Enterprise 1.92 TB 2.5"" Solid State Drive",,,1.92 TB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Inland+Enterprise+1.92+TB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
KingSpec XG7000 PRO 512 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,512 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=KingSpec+XG7000+PRO+512+GB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Addlink S90 Lite 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,4 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Addlink+S90+Lite+4+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Titanium Micro TH7175 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$81.99,1 TB,$0.082,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B094RDHBV1?tag=bgfg-pc-builder-us-20
Titanium Micro TH2000 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Titanium+Micro+TH2000+1+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Titanium Micro TH2000 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Titanium+Micro+TH2000+2+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
TEAMGROUP T-FORCE G50 PRO 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=TEAMGROUP+T-FORCE+G50+PRO+1+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
TEAMGROUP T-FORCE G70 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,4 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=TEAMGROUP+T-FORCE+G70+4+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Transcend 830S 1 TB M.2-2280 SATA Solid State Drive,,$77.98,1 TB,$0.078,SSD,N/A,M.2-2280,M.2 SATA,https://www.amazon.com/dp/B07NDC4VJL?tag=bgfg-pc-builder-us-20
PNY CS3150 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=PNY+CS3150+1+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Timetec 35TTQNM2SATA 256 GB M.2-2280 SATA Solid State Drive,,,256 GB,N/A,SSD,N/A,M.2-2280,M.2 SATA,https://www.amazon.com/s?k=Timetec+35TTQNM2SATA+256+GB+M.2-2280+SATA+Solid+State+Drive&tag=bgfg-pc-builder-us-20
FanXiang S900 2 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=FanXiang+S900+2+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"VisionTek 900982 2 TB 2.5"" Solid State Drive",,$568.36,2 TB,$0.284,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B071NML6G1?tag=bgfg-pc-builder-us-20
"OWC Mercury Electra 6G 1 TB 2.5"" Solid State Drive",,$97.99,1 TB,$0.098,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B09TXTWDSC?tag=bgfg-pc-builder-us-20
VisionTek 901412 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=VisionTek+901412+1+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"VisionTek 901414 8 TB 2.5"" Solid State Drive",,$1565.20,8 TB,$0.196,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=VisionTek+901414+8+TB+2.5%26quot%3B+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Micron 5400 Boot OPAL 240 GB M.2-2280 SATA Solid State Drive,,,240 GB,N/A,SSD,N/A,M.2-2280,M.2 SATA,https://www.amazon.com/s?k=Micron+5400+Boot+OPAL+240+GB+M.2-2280+SATA+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Micron 5400 Boot 240 GB M.2-2280 SATA Solid State Drive,,,240 GB,N/A,SSD,N/A,M.2-2280,M.2 SATA,https://www.amazon.com/s?k=Micron+5400+Boot+240+GB+M.2-2280+SATA+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Micron 5400 Pro 480 GB 2.5"" Solid State Drive",,,480 GB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Micron+5400+Pro+480+GB+2.5%26quot%3B+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Micron 5400 Pro 1.92 TB 2.5"" Solid State Drive",,,1.92 TB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Micron+5400+Pro+1.92+TB+2.5%26quot%3B+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Micron 5400 Max OPAL 1.92 TB 2.5"" Solid State Drive",,,1.92 TB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Micron+5400+Max+OPAL+1.92+TB+2.5%26quot%3B+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Lenovo S4520 240 GB 2.5"" Solid State Drive",,,240 GB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Lenovo+S4520+240+GB+2.5%26quot%3B+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Lenovo S4520 480 GB 2.5"" Solid State Drive",,$299.00,480 GB,$0.623,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B09YS1N23K?tag=bgfg-pc-builder-us-20
"Lenovo S4520 960 GB 2.5"" Solid State Drive",,$215.60,960 GB,$0.225,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B09YRZFCTP?tag=bgfg-pc-builder-us-20
"Lenovo S4520 240 GB 3.5"" Solid State Drive",,,240 GB,N/A,SSD,N/A,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Lenovo+S4520+240+GB+3.5%26quot%3B+Solid+State+Drive&tag=bgfg-pc-builder-us-20
TEAMGROUP T-Force GE Pro 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=TEAMGROUP+T-Force+GE+Pro+1+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Klevv CRAS 910 Lite 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,500 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Klevv+CRAS+910+Lite+500+GB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Klevv CRAS 910 Lite 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,4 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Klevv+CRAS+910+Lite+4+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
TEAMGROUP T-FORCE Z44A3 512 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,512 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=TEAMGROUP+T-FORCE+Z44A3+512+GB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Orico Troodon V500 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,256 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Orico+Troodon+V500+256+GB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
MSI SPATIUM M480 PRO PLAY 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=MSI+SPATIUM+M480+PRO+PLAY+1+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
AGI AI838 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=AGI+AI838+2+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
AGI AI218 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=AGI+AI218+1+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
AGI AI218 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=AGI+AI218+2+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
AGI AI198 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=AGI+AI198+1+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
TEAMGROUP T-Create Classic I45 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=TEAMGROUP+T-Create+Classic+I45+2+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Seagate BarraCuda 530 2.048 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,2.048 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Seagate+BarraCuda+530+2.048+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Apacer AS2280P4U 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Apacer+AS2280P4U+2+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
‎FFF Smart Life Connected ‎G-Storategy NV470 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,4 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=%E2%80%8EFFF+Smart+Life+Connected+%E2%80%8EG-Storategy+NV470+4+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
XOC G300 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,$59.99,1 TB,$0.060,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B0CYY3BR3F?tag=bgfg-pc-builder-us-20
XOC SP900 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$117.00,2 TB,$0.058,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0CYXNC7F7?tag=bgfg-pc-builder-us-20
XOC SP900 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,4 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=XOC+SP900+4+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Addlink D60 480 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,480 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Addlink+D60+480+GB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Addlink G55 4 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,,4 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=Addlink+G55+4+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
TEAMGROUP T-FORCE GA PRO 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=TEAMGROUP+T-FORCE+GA+PRO+1+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
OWC Aura Ultra IV 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,4 TB,$0.112,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=OWC+Aura+Ultra+IV+4+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
OWC Aura Ultra IV 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,500 GB,$0.148,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=OWC+Aura+Ultra+IV+500+GB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Integral Industrial MO-300 32 GB mSATA Solid State Drive,,,32 GB,N/A,SSD,N/A,mSATA,mSATA,https://www.amazon.com/s?k=Integral+Industrial+MO-300+32+GB+mSATA+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Integral 2020 1 TB M.2-2280 SATA Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 SATA,https://www.amazon.com/s?k=Integral+2020+1+TB+M.2-2280+SATA+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Integral INSSD256GM2242G3 256 GB M.2-2242 PCIe 3.0 X4 NVME Solid State Drive,,,256 GB,N/A,SSD,N/A,M.2-2242,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Integral+INSSD256GM2242G3+256+GB+M.2-2242+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
TEAMGROUP T-Force GE PRO AirFlow 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=TEAMGROUP+T-Force+GE+PRO+AirFlow+1+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Orico e7400 512 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,512 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Orico+e7400+512+GB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
KingSpec XF 512 GB M.2-2230 PCIe 4.0 X4 NVME Solid State Drive,,$39.99,512 GB,$0.078,SSD,N/A,M.2-2230,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0CN3BKFLF?tag=bgfg-pc-builder-us-20
OWC Aura Pro IV 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,2 TB,$0.092,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=OWC+Aura+Pro+IV+2+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
AGI AI298 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=AGI+AI298+2+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Integral UltimaPro X2 240 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,240 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Integral+UltimaPro+X2+240+GB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Toshiba Slim L200 500 GB 2.5"" 5400 RPM Internal Hard Drive",,,500 GB,N/A,5400 RPM,8 MB,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Toshiba+Slim+L200+500+GB+2.5%22+5400+RPM+Internal+Hard+Drive&tag=bgfg-pc-builder-us-20
"Hitachi Ultrastar DC SA620 1.6 TB 2.5"" Solid State Drive",,,1.6 TB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Hitachi+Ultrastar+DC+SA620+1.6+TB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Lenovo 5300 480 GB 2.5"" Solid State Drive",,$410.80,480 GB,$0.856,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B083Y6KFXZ?tag=bgfg-pc-builder-us-20
"Lenovo 5300 480 GB 2.5"" Solid State Drive",,$332.19,480 GB,$0.692,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B083Y4Z6T8?tag=bgfg-pc-builder-us-20
Asura Genesis Xtreme 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,256 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Asura+Genesis+Xtreme+256+GB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
VisionTek PRO XMN 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,$52.36,256 GB,$0.205,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B081SMKTF3?tag=bgfg-pc-builder-us-20
"VisionTek PRO HXS 2 TB 2.5"" Solid State Drive",,$246.30,2 TB,$0.123,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B081SLS94L?tag=bgfg-pc-builder-us-20
"VisionTek PRO ECS 2 TB 2.5"" Solid State Drive",,$202.03,2 TB,$0.101,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B081SMKTHD?tag=bgfg-pc-builder-us-20
"VisionTek PRO ECS 500 GB 2.5"" Solid State Drive",,$111.01,500 GB,$0.222,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B081SMFWM4?tag=bgfg-pc-builder-us-20
"VisionTek PRO ECS 1 TB 2.5"" Solid State Drive",,$186.79,1 TB,$0.187,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B081SMY651?tag=bgfg-pc-builder-us-20
Seagate IronWolf 510 1.92 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,$527.99,1.92 TB,$0.275,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B0853WPBLJ?tag=bgfg-pc-builder-us-20
"Centon MP Essential 120 GB 2.5"" Solid State Drive",,,120 GB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Centon+MP+Essential+120+GB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Centon MP Essential 2 TB 2.5"" Solid State Drive",,,2 TB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Centon+MP+Essential+2+TB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Angelbird ED381 7.68 TB 2.5"" Solid State Drive",,$6399.90,7.68 TB,$0.833,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Angelbird+ED381+7.68+TB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Angelbird AV PRO XT 500 GB 2.5"" Solid State Drive",,$369.99,500 GB,$0.740,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B071W37WZX?tag=bgfg-pc-builder-us-20
Biostar M500 512 GB M.2-2280 PCIe 3.0 X2 NVME Solid State Drive,,,512 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X2,https://www.amazon.com/s?k=Biostar+M500+512+GB+M.2-2280+PCIe+3.0+X2+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Biostar M500 1 TB M.2-2280 PCIe 3.0 X2 NVME Solid State Drive,,,1 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X2,https://www.amazon.com/s?k=Biostar+M500+1+TB+M.2-2280+PCIe+3.0+X2+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
TEAMGROUP Cardea II 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,256 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=TEAMGROUP+Cardea+II+256+GB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Timetec 35LSNVME-960GB 960 GB M.2-22110 PCIe 4.0 X4 NVME Solid State Drive,,,960 GB,N/A,SSD,N/A,M.2-22110,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Timetec+35LSNVME-960GB+960+GB+M.2-22110+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Apacer AS2280P4 240 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,240 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Apacer+AS2280P4+240+GB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Apacer AS2280P4 480 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,480 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Apacer+AS2280P4+480+GB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Apacer PPSS25 128 GB 2.5"" Solid State Drive",,,128 GB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Apacer+PPSS25+128+GB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Apacer PPSS25 1 TB 2.5"" Solid State Drive",,,1 TB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Apacer+PPSS25+1+TB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Apacer PPSS80 128 GB M.2-2280 SATA Solid State Drive,,,128 GB,N/A,SSD,N/A,M.2-2280,M.2 SATA,https://www.amazon.com/s?k=Apacer+PPSS80+128+GB+M.2-2280+SATA+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Apacer PP3480 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,256 GB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Apacer+PP3480+256+GB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Apacer PP3480 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=Apacer+PP3480+2+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Neo Forza NFS10 480 GB 2.5"" Solid State Drive",,$59.99,480 GB,$0.125,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Neo+Forza+NFS10+480+GB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"TEAMGROUP T-Create Expert 2 TB 2.5"" Solid State Drive",,,2 TB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=TEAMGROUP+T-Create+Expert+2+TB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"TEAMGROUP T-Create Classic 1 TB 2.5"" Solid State Drive",,$89.99,1 TB,$0.090,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B08H8B1MXZ?tag=bgfg-pc-builder-us-20
