name,rating,price,type,efficiency rating,wattage,modular,link
Corsair RM1000x (2024) 1000 W Fully Modular ATX Power Supply,,$164.99,ATX,N/A,1000 W,Full,https://www.amazon.com/dp/B0DJ1M9C62?tag=bgfg-pc-builder-us-20
Corsair RM850x (2024) 850 W Fully Modular ATX Power Supply,,$124.99,ATX,N/A,850 W,Full,https://www.amazon.com/dp/B0DJ1JL3MK?tag=bgfg-pc-builder-us-20
Segotep GN 650 W 80+ Gold Certified ATX Power Supply,,$49.99,ATX,80+ Gold,650 W,No,https://www.amazon.com/dp/B0832N5XF7?tag=bgfg-pc-builder-us-20
Thermaltake Smart 600 W 80+ Certified ATX Power Supply,4.5,$39.99,ATX,80+,600 W,No,https://www.amazon.com/dp/B014W3EMAO?tag=bgfg-pc-builder-us-20
Thermaltake Toughpower GF1 (2024) 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.0,$84.99,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B0CKY716F9?tag=bgfg-pc-builder-us-20
Corsair RM750x (2021) 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.9,$108.59,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B08R5W27JS?tag=bgfg-pc-builder-us-20
Asus ROG THOR 1600T Gaming 1600 W 80+ Titanium Certified Fully Modular ATX Power Supply,,,ATX,80+ Titanium,1600 W,Full,https://www.amazon.com/s?k=Asus+ROG+THOR+1600T+Gaming+1600+W+80%2B+Titanium+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
be quiet! Pure Power 12 M 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.5,$119.90,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B0BVXYF78D?tag=bgfg-pc-builder-us-20
Corsair HX1500i (2023) 1500 W 80+ Platinum Certified Fully Modular ATX Power Supply,,$399.99,ATX,80+ Platinum,1500 W,Full,https://www.amazon.com/dp/B0BZ1JPSF7?tag=bgfg-pc-builder-us-20
Corsair CX (2023) 750 W 80+ Bronze Certified ATX Power Supply,4.0,$64.98,ATX,80+ Bronze,750 W,No,https://www.amazon.com/dp/B0CQMJN49P?tag=bgfg-pc-builder-us-20
Apevia Galaxy 650 W 80+ Gold Certified Semi-modular ATX Power Supply,4.5,$54.99,ATX,80+ Gold,650 W,Semi,https://www.amazon.com/dp/B094278HKG?tag=bgfg-pc-builder-us-20
Corsair HX1200i 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply,,$279.99,ATX,80+ Platinum,1200 W,Full,https://www.amazon.com/dp/B0CTR6PK19?tag=bgfg-pc-builder-us-20
Corsair RM750 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.8,$126.99,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B093R3HVCK?tag=bgfg-pc-builder-us-20
Thermaltake Toughpower GF A3 - TT Premium Edition 750 W 80+ Gold Certified Fully Modular ATX Power Supply,,$99.99,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B0C1JKB652?tag=bgfg-pc-builder-us-20
be quiet! Pure Power 12 M 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,$164.90,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/dp/B0BVYCXQY4?tag=bgfg-pc-builder-us-20
Cooler Master V SFX Gold ATX 3.0 850 W 80+ Gold Certified Fully Modular SFX Power Supply,,$148.99,SFX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B0CFCZYC2Q?tag=bgfg-pc-builder-us-20
MSI A1000G PCIE5 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,,$199.99,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/dp/B0B434DB7Y?tag=bgfg-pc-builder-us-20
SeaSonic FOCUS Plus 650 Gold 650 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,$119.99,ATX,80+ Gold,650 W,Full,https://www.amazon.com/dp/B073H33X7R?tag=bgfg-pc-builder-us-20
Segotep GM 750 W 80+ Gold Certified Fully Modular ATX Power Supply,3.0,,ATX,80+ Gold,750 W,Full,https://www.amazon.com/s?k=Segotep+GM+750+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Corsair CX650M (2021) 550 W 80+ Bronze Certified Semi-modular ATX Power Supply,,$59.99,ATX,80+ Bronze,550 W,Semi,https://www.amazon.com/dp/B093NTQJSF?tag=bgfg-pc-builder-us-20
Asus ROG Strix Aura Edition 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/s?k=Asus+ROG+Strix+Aura+Edition+1000+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Thermaltake Toughpower SFX 850 W 80+ Gold Certified Fully Modular SFX Power Supply,,$199.99,SFX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B0BMWKHFN8?tag=bgfg-pc-builder-us-20
MSI MAG A750BN PCIE5 750 W 80+ Bronze Certified ATX Power Supply,,$80.73,ATX,80+ Bronze,750 W,No,https://www.amazon.com/dp/B0CT3Z4HFH?tag=bgfg-pc-builder-us-20
Lian Li SP 750 W 80+ Gold Certified Fully Modular SFX Power Supply,4.8,$129.00,SFX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B09HJND3Q4?tag=bgfg-pc-builder-us-20
Thermaltake Toughpower GF A3 Snow 1050 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,$154.99,ATX,80+ Gold,1050 W,Full,https://www.amazon.com/s?k=Thermaltake+Toughpower+GF+A3+Snow+1050+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
MSI MPG A850G PCIE5 850 W 80+ Gold Certified Fully Modular ATX Power Supply,,$159.98,ATX,80+ Gold,850 W,Full,https://www.amazon.com/s?k=MSI+MPG+A850G+PCIE5+850+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply,,,ATX,80+ Platinum,1000 W,Full,https://www.amazon.com/s?k=Lian+Li+EDGE+1000+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Asus ROG THOR P2 Gaming 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply,,,ATX,80+ Platinum,1200 W,Full,https://www.amazon.com/s?k=Asus+ROG+THOR+P2+Gaming+1200+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Gigabyte UD850GM 850 W 80+ Gold Certified Fully Modular ATX Power Supply,,$70.98,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B09RK7GFQL?tag=bgfg-pc-builder-us-20
