name,rating,price,type,efficiency rating,wattage,modular,link
CoolMax CA-350 350 W ATX Power Supply,,,ATX,N/A,350 W,No,https://www.amazon.com/s?k=CoolMax+CA-350+350+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
CoolMax CL-700B 700 W ATX Power Supply,3.0,,ATX,N/A,700 W,No,https://www.amazon.com/s?k=CoolMax+CL-700B+700+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
VisionTek 900347 650 W ATX Power Supply,,,ATX,N/A,650 W,No,https://www.amazon.com/s?k=VisionTek+900347+650+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
VisionTek 900349 800 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,800 W,No,https://www.amazon.com/s?k=VisionTek+900349+800+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Enermax EPG600AWT 600 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,600 W,No,https://www.amazon.com/s?k=Enermax+EPG600AWT+600+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
In Win Commander 1200 W 80+ Certified Fully Modular ATX Power Supply,,,ATX,80+,1200 W,Full,https://www.amazon.com/s?k=In+Win+Commander+1200+W+80%2B+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sparkle R-SPI650ACAG 650 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,650 W,No,https://www.amazon.com/s?k=Sparkle+R-SPI650ACAG+650+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sparkle R-SPI750ACAG 750 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,750 W,No,https://www.amazon.com/s?k=Sparkle+R-SPI750ACAG+750+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Raidmax RX-380K 380 W ATX Power Supply,4.0,,ATX,N/A,380 W,No,https://www.amazon.com/s?k=Raidmax+RX-380K+380+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
OCZ EliteXStream 800 W 80+ Certified ATX Power Supply,,,ATX,80+,800 W,No,https://www.amazon.com/s?k=OCZ+EliteXStream+800+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill Stallion 500 W ATX Power Supply,3.5,,ATX,N/A,500 W,No,https://www.amazon.com/s?k=Rosewill+Stallion+500+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill RX850-S-B 850 W 80+ Certified ATX Power Supply,4.3,,ATX,80+,850 W,No,https://www.amazon.com/s?k=Rosewill+RX850-S-B+850+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Silverstone DA750 750 W Fully Modular ATX Power Supply,,,ATX,N/A,750 W,Full,https://www.amazon.com/s?k=Silverstone+DA750+750+W+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Silverstone Nightjar 400 W 80+ Bronze Certified Fanless ATX Power Supply,,,ATX,80+ Bronze,400 W,No,https://www.amazon.com/s?k=Silverstone+Nightjar+400+W+80%2B+Bronze+Certified+Fanless+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Silverstone Strider 1000 W 80+ Gold Certified Semi-modular ATX Power Supply,,,ATX,80+ Gold,1000 W,Semi,https://www.amazon.com/s?k=Silverstone+Strider+1000+W+80%2B+Gold+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sunbeam IC-PSU-US-2545-DW 450 W ATX Power Supply,,,ATX,N/A,450 W,No,https://www.amazon.com/s?k=Sunbeam+IC-PSU-US-2545-DW+450+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sunbeam PSU-COM680-BK-US 680 W Fully Modular ATX Power Supply,,,ATX,N/A,680 W,Full,https://www.amazon.com/s?k=Sunbeam+PSU-COM680-BK-US+680+W+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Thermaltake Toughpower 1000 W 80+ Bronze Certified Fully Modular ATX Power Supply,,,ATX,80+ Bronze,1000 W,Full,https://www.amazon.com/s?k=Thermaltake+Toughpower+1000+W+80%2B+Bronze+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
XFX P1-650X-CAH9 650 W 80+ Bronze Certified Fully Modular ATX Power Supply,,,ATX,80+ Bronze,650 W,Full,https://www.amazon.com/s?k=XFX+P1-650X-CAH9+650+W+80%2B+Bronze+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Topower TOP-900W 900 W 80+ Certified Fully Modular ATX Power Supply,,,ATX,80+,900 W,Full,https://www.amazon.com/s?k=Topower+TOP-900W+900+W+80%2B+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
FSP Group AU-750M 750 W 80+ Gold Certified Semi-modular ATX Power Supply,,,ATX,80+ Gold,750 W,Semi,https://www.amazon.com/s?k=FSP+Group+AU-750M+750+W+80%2B+Gold+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Super Flower Golden Green HX 450 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,450 W,No,https://www.amazon.com/s?k=Super+Flower+Golden+Green+HX+450+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Super Flower Golden Green HX 750 W 80+ Gold Certified ATX Power Supply,,$105.14,ATX,80+ Gold,750 W,No,https://www.amazon.com/s?k=Super+Flower+Golden+Green+HX+750+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Kingwin ABT-650MM 650 W ATX Power Supply,3.5,,ATX,N/A,650 W,No,https://www.amazon.com/s?k=Kingwin+ABT-650MM+650+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Super Flower Leadex Gold 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.7,,ATX,80+ Gold,750 W,Full,https://www.amazon.com/s?k=Super+Flower+Leadex+Gold+750+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
SeaSonic Platinum 1050 W 80+ Platinum Certified Fully Modular ATX Power Supply,5.0,,ATX,80+ Platinum,1050 W,Full,https://www.amazon.com/s?k=SeaSonic+Platinum+1050+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
iStarUSA TC-1200PD8G 1200 W Fully Modular ATX Power Supply,,$305.99,ATX,N/A,1200 W,Full,https://www.amazon.com/s?k=iStarUSA+TC-1200PD8G+1200+W+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Athena Power AP-MFATX50P8 500 W 80+ Silver Certified Flex ATX Power Supply,3.0,$136.99,Flex ATX,80+ Silver,500 W,No,https://www.amazon.com/dp/B073JXM2K2?tag=bgfg-pc-builder-us-20
SHARKOON Rebel P30 Gold 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/s?k=SHARKOON+Rebel+P30+Gold+1000+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
FSP Group FSP300-60GHS-R 300 W 80+ Certified SFX Power Supply,,,SFX,80+,300 W,No,https://www.amazon.com/s?k=FSP+Group+FSP300-60GHS-R+300+W+80%2B+Certified+SFX+Power+Supply&tag=bgfg-pc-builder-us-20
Gigabyte UD850GM-A 850 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,850 W,Full,https://www.amazon.com/s?k=Gigabyte+UD850GM-A+850+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
KOLINK Continuum V2 1050 W 80+ Platinum Certified Fully Modular ATX Power Supply,,,ATX,80+ Platinum,1050 W,Full,https://www.amazon.com/s?k=KOLINK+Continuum+V2+1050+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Logisys PS550E12 550 W ATX Power Supply,3.0,,ATX,N/A,550 W,No,https://www.amazon.com/s?k=Logisys+PS550E12+550+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill VALENS-700M 700 W 80+ Gold Certified Semi-modular ATX Power Supply,3.7,,ATX,80+ Gold,700 W,Semi,https://www.amazon.com/s?k=Rosewill+VALENS-700M+700+W+80%2B+Gold+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
YEYIAN Thunder 500 W 80+ Certified ATX Power Supply,,,ATX,80+,500 W,No,https://www.amazon.com/s?k=YEYIAN+Thunder+500+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Deepcool DQ650ST 650 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,650 W,No,https://www.amazon.com/s?k=Deepcool+DQ650ST+650+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Deepcool PM700D 700 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,700 W,No,https://www.amazon.com/s?k=Deepcool+PM700D+700+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Corsair GS500 500 W 80+ Certified ATX Power Supply,,,ATX,80+,500 W,No,https://www.amazon.com/s?k=Corsair+GS500+500+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Silverstone Strider 850 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,,ATX,80+ Gold,850 W,Full,https://www.amazon.com/s?k=Silverstone+Strider+850+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
SeaSonic S12G 750 W 80+ Gold Certified ATX Power Supply,5.0,,ATX,80+ Gold,750 W,No,https://www.amazon.com/s?k=SeaSonic+S12G+750+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
SeaSonic S12G 450 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,450 W,No,https://www.amazon.com/s?k=SeaSonic+S12G+450+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
be quiet! POWER 2 300 W 80+ Bronze Certified SFX Power Supply,,,SFX,80+ Bronze,300 W,No,https://www.amazon.com/s?k=be+quiet%21+POWER+2+300+W+80%2B+Bronze+Certified+SFX+Power+Supply&tag=bgfg-pc-builder-us-20
Enermax REVOLUTION X't 430 W 80+ Gold Certified Semi-modular ATX Power Supply,5.0,,ATX,80+ Gold,430 W,Semi,https://www.amazon.com/s?k=Enermax+REVOLUTION+X%26%23x27%3Bt+430+W+80%2B+Gold+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Fractal Design Edison M 650 W 80+ Gold Certified Semi-modular ATX Power Supply,4.0,,ATX,80+ Gold,650 W,Semi,https://www.amazon.com/s?k=Fractal+Design+Edison+M+650+W+80%2B+Gold+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
SeaSonic PRIME Ultra Platinum 850 850 W 80+ Platinum Certified Fully Modular ATX Power Supply,,$229.99,ATX,80+ Platinum,850 W,Full,https://www.amazon.com/dp/B075M5CPM1?tag=bgfg-pc-builder-us-20
Kuroutoshikou KRPW-BR550W/85+ 550 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,550 W,No,https://www.amazon.com/s?k=Kuroutoshikou+KRPW-BR550W%2F85%2B+550+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
SHARKOON WPC Bronze 550 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,550 W,No,https://www.amazon.com/s?k=SHARKOON+WPC+Bronze+550+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
HEC XPOWER780 600 W ATX Power Supply,,,ATX,N/A,600 W,No,https://www.amazon.com/s?k=HEC+XPOWER780+600+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rocketfish RF-900WPS 900 W Fully Modular ATX Power Supply,,,ATX,N/A,900 W,Full,https://www.amazon.com/s?k=Rocketfish+RF-900WPS+900+W+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
NZXT HALE90 V2 1200W 1200 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,1200 W,Full,https://www.amazon.com/s?k=NZXT+HALE90+V2+1200W+1200+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Cooler Master MasterWatt Maker 1500 (no Bluetooth) 1500 W 80+ Titanium Certified Fully Modular ATX Power Supply,,,ATX,80+ Titanium,1500 W,Full,https://www.amazon.com/s?k=Cooler+Master+MasterWatt+Maker+1500+%28no+Bluetooth%29+1500+W+80%2B+Titanium+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill RD-Z 450 W 80+ Certified ATX Power Supply,,,ATX,80+,450 W,No,https://www.amazon.com/s?k=Rosewill+RD-Z+450+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill Capstone 650 W 80+ Gold Certified ATX Power Supply,5.0,,ATX,80+ Gold,650 W,No,https://www.amazon.com/s?k=Rosewill+Capstone+650+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Raidmax RX-600AF 600 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,600 W,No,https://www.amazon.com/s?k=Raidmax+RX-600AF+600+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
"FSP Group Hydro PTM X PRO,Gen5 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply",,,ATX,80+ Platinum,1000 W,Full,https://www.amazon.com/s?k=FSP+Group+Hydro+PTM+X+PRO%2CGen5+1000+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Antec Basiq 430 W 80+ Certified ATX Power Supply,4.0,,ATX,80+,430 W,No,https://www.amazon.com/s?k=Antec+Basiq+430+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Cougar RX600 600 W 80+ Certified ATX Power Supply,4.0,,ATX,80+,600 W,No,https://www.amazon.com/s?k=Cougar+RX600+600+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Antec Basiq 500 W ATX Power Supply,3.0,,ATX,N/A,500 W,No,https://www.amazon.com/s?k=Antec+Basiq+500+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Antec True Power 1000 W 80+ Bronze Certified Fully Modular ATX Power Supply,,,ATX,80+ Bronze,1000 W,Full,https://www.amazon.com/s?k=Antec+True+Power+1000+W+80%2B+Bronze+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
In Win GreenMe 550 550 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,550 W,No,https://www.amazon.com/s?k=In+Win+GreenMe+550+550+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
HEC Zephyr MX-750 750 W 80+ Bronze Certified ATX Power Supply,4.0,,ATX,80+ Bronze,750 W,No,https://www.amazon.com/s?k=HEC+Zephyr+MX-750+750+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
CoolMax CA-450 450 W ATX Power Supply,,,ATX,N/A,450 W,No,https://www.amazon.com/s?k=CoolMax+CA-450+450+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Enermax EMG700AWT 700 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,700 W,Full,https://www.amazon.com/s?k=Enermax+EMG700AWT+700+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
EVGA Classified SR-2 1200 W 80+ Silver Certified Fully Modular ATX Power Supply,,,ATX,80+ Silver,1200 W,Full,https://www.amazon.com/s?k=EVGA+Classified+SR-2+1200+W+80%2B+Silver+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Gigabyte GE-P450P-C2 550 W 80+ Certified ATX Power Supply,2.0,,ATX,80+,550 W,No,https://www.amazon.com/s?k=Gigabyte+GE-P450P-C2+550+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
OCZ StealthXstream II 600 W 80+ Certified ATX Power Supply,3.0,,ATX,80+,600 W,No,https://www.amazon.com/s?k=OCZ+StealthXstream+II+600+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
OCZ Z Series Gold 1000 W 80+ Gold Certified Semi-modular ATX Power Supply,4.0,,ATX,80+ Gold,1000 W,Semi,https://www.amazon.com/s?k=OCZ+Z+Series+Gold+1000+W+80%2B+Gold+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill Libertas 800 W 80+ Bronze Certified Fully Modular ATX Power Supply,,,ATX,80+ Bronze,800 W,Full,https://www.amazon.com/s?k=Rosewill+Libertas+800+W+80%2B+Bronze+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
FSP Group FSP300-60GHS(85) 300 W 80+ Bronze Certified SFX Power Supply,,,SFX,80+ Bronze,300 W,No,https://www.amazon.com/s?k=FSP+Group+FSP300-60GHS%2885%29+300+W+80%2B+Bronze+Certified+SFX+Power+Supply&tag=bgfg-pc-builder-us-20
Silverstone Strider 1200 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,,ATX,80+ Gold,1200 W,Full,https://www.amazon.com/s?k=Silverstone+Strider+1200+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill RP600V2-S-SL 600 W ATX Power Supply,3.6,,ATX,N/A,600 W,No,https://www.amazon.com/s?k=Rosewill+RP600V2-S-SL+600+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill RV350 350 W ATX Power Supply,1.0,,ATX,N/A,350 W,No,https://www.amazon.com/s?k=Rosewill+RV350+350+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Silverstone Strider 1200 W 80+ Certified Fully Modular ATX Power Supply,,,ATX,80+,1200 W,Full,https://www.amazon.com/s?k=Silverstone+Strider+1200+W+80%2B+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sunbeam PSU-ECO750-US-BL 750 W 80+ Certified ATX Power Supply,,,ATX,80+,750 W,No,https://www.amazon.com/s?k=Sunbeam+PSU-ECO750-US-BL+750+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Thermaltake Toughpower 1350 W 80+ Silver Certified Semi-modular ATX Power Supply,,,ATX,80+ Silver,1350 W,Semi,https://www.amazon.com/s?k=Thermaltake+Toughpower+1350+W+80%2B+Silver+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
SeaSonic SS-350SFE 350 W 80+ Certified SFX Power Supply,,,SFX,80+,350 W,No,https://www.amazon.com/s?k=SeaSonic+SS-350SFE+350+W+80%2B+Certified+SFX+Power+Supply&tag=bgfg-pc-builder-us-20
Deepcool PM600D 600 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,600 W,No,https://www.amazon.com/s?k=Deepcool+PM600D+600+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill CFZ 500 W 80+ Bronze Certified Semi-modular ATX Power Supply,,$49.99,ATX,80+ Bronze,500 W,Semi,https://www.amazon.com/dp/B08RQJQTDJ?tag=bgfg-pc-builder-us-20
Rosewill CFZ 750 W 80+ Bronze Certified Semi-modular ATX Power Supply,,$79.98,ATX,80+ Bronze,750 W,Semi,https://www.amazon.com/dp/B08RQZTZG5?tag=bgfg-pc-builder-us-20
Enermax NAXN ADV. 550 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,550 W,No,https://www.amazon.com/s?k=Enermax+NAXN+ADV.+550+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sparkle ATX-350PN-B204 350 W ATX Power Supply,,$57.99,ATX,N/A,350 W,No,https://www.amazon.com/dp/B0015TXJM6?tag=bgfg-pc-builder-us-20
Antec Earthwatts 450 W 80+ Platinum Certified ATX Power Supply,4.0,,ATX,80+ Platinum,450 W,No,https://www.amazon.com/s?k=Antec+Earthwatts+450+W+80%2B+Platinum+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Enermax RevoBron 700 W 80+ Bronze Certified Semi-modular ATX Power Supply,,,ATX,80+ Bronze,700 W,Semi,https://www.amazon.com/s?k=Enermax+RevoBron+700+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
CoolMax ZU-700B 700 W 80+ Bronze Certified Semi-modular ATX Power Supply,4.0,,ATX,80+ Bronze,700 W,Semi,https://www.amazon.com/s?k=CoolMax+ZU-700B+700+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Enermax RevoBron 600 W 80+ Bronze Certified Semi-modular ATX Power Supply,,,ATX,80+ Bronze,600 W,Semi,https://www.amazon.com/s?k=Enermax+RevoBron+600+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Cougar RSB400 400 W 80+ Certified ATX Power Supply,,,ATX,80+,400 W,No,https://www.amazon.com/s?k=Cougar+RSB400+400+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Thermaltake Toughpower DPS G RGB Gold 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.0,,ATX,80+ Gold,750 W,Full,https://www.amazon.com/s?k=Thermaltake+Toughpower+DPS+G+RGB+Gold+750+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Topower TOP-800WB 800 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,800 W,No,https://www.amazon.com/s?k=Topower+TOP-800WB+800+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
In Win Classic 750 W 80+ Platinum Certified Fully Modular ATX Power Supply,5.0,,ATX,80+ Platinum,750 W,Full,https://www.amazon.com/s?k=In+Win+Classic+750+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Thermaltake TR2 450 W 80+ Gold Certified ATX Power Supply,3.0,,ATX,80+ Gold,450 W,No,https://www.amazon.com/s?k=Thermaltake+TR2+450+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Super Flower Leadex III Super Pro 850 W 80+ Bronze Certified Fully Modular ATX Power Supply,,$129.99,ATX,80+ Bronze,850 W,Full,https://www.amazon.com/dp/B08H1CFWZX?tag=bgfg-pc-builder-us-20
PC Power & Cooling S75CF 750 W 80+ Certified ATX Power Supply,5.0,,ATX,80+,750 W,No,https://www.amazon.com/s?k=PC+Power+%26+Cooling+S75CF+750+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
CoolMax ZU-500B 500 W 80+ Bronze Certified Semi-modular ATX Power Supply,5.0,,ATX,80+ Bronze,500 W,Semi,https://www.amazon.com/s?k=CoolMax+ZU-500B+500+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
FSP Group HEXA 85+ 450 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,450 W,No,https://www.amazon.com/s?k=FSP+Group+HEXA+85%2B+450+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Antec NE450M 450 W 80+ Bronze Certified Semi-modular ATX Power Supply,,,ATX,80+ Bronze,450 W,Semi,https://www.amazon.com/s?k=Antec+NE450M+450+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Rosewill Capstone 550 W 80+ Gold Certified Semi-modular ATX Power Supply,4.6,,ATX,80+ Gold,550 W,Semi,https://www.amazon.com/s?k=Rosewill+Capstone+550+W+80%2B+Gold+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Raidmax RX-835AP 835 W 80+ Bronze Certified Semi-modular ATX Power Supply,,,ATX,80+ Bronze,835 W,Semi,https://www.amazon.com/s?k=Raidmax+RX-835AP+835+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Cougar GX-S 450 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,450 W,No,https://www.amazon.com/s?k=Cougar+GX-S+450+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Silverstone Strider 700 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,700 W,No,https://www.amazon.com/s?k=Silverstone+Strider+700+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
StarTech ATXPW350DELL 350 W ATX Power Supply,,,ATX,N/A,350 W,No,https://www.amazon.com/s?k=StarTech+ATXPW350DELL+350+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
CoolMax CUQ-1200B 1200 W 80+ Certified ATX Power Supply,,,ATX,80+,1200 W,No,https://www.amazon.com/s?k=CoolMax+CUQ-1200B+1200+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Apevia ATX-AS680W-BK 680 W ATX Power Supply,,,ATX,N/A,680 W,No,https://www.amazon.com/s?k=Apevia+ATX-AS680W-BK+680+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
RIOTORO BUILDER 1200 W 80+ Gold Certified Fully Modular ATX Power Supply,4.0,,ATX,80+ Gold,1200 W,Full,https://www.amazon.com/s?k=RIOTORO+BUILDER+1200+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Zalman 850-HP Plus 850 W 80+ Silver Certified Semi-modular ATX Power Supply,,,ATX,80+ Silver,850 W,Semi,https://www.amazon.com/s?k=Zalman+850-HP+Plus+850+W+80%2B+Silver+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Zalman 1000-HP Plus 1000 W 80+ Silver Certified Fully Modular ATX Power Supply,,,ATX,80+ Silver,1000 W,Full,https://www.amazon.com/s?k=Zalman+1000-HP+Plus+1000+W+80%2B+Silver+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sentey MBP HM 550 W 80+ Bronze Certified Semi-modular ATX Power Supply,,,ATX,80+ Bronze,550 W,Semi,https://www.amazon.com/s?k=Sentey+MBP+HM+550+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
XFX P1-850X-XXB9 850 W 80+ Bronze Certified Semi-modular ATX Power Supply,3.0,,ATX,80+ Bronze,850 W,Semi,https://www.amazon.com/s?k=XFX+P1-850X-XXB9+850+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Kingwin ABT-850MM 850 W ATX Power Supply,,,ATX,N/A,850 W,No,https://www.amazon.com/s?k=Kingwin+ABT-850MM+850+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
