name,rating,price,cores,core_clock,boost_clock,tdp,link
Intel Core i5-14600K 3.5 GHz 14-Core Processor,4.0,$316.99,14,3.5,5.3,125,https://www.amazon.com/dp/B0CGJ9STNF?tag=bgfg-pc-builder-us-20
Intel Core i7-13700K 3.4 GHz 16-Core Processor,,$439.99,16,3.4,5.4,125,https://www.amazon.com/s?k=Intel+Core+i7-13700K+3.4+GHz+16-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 9 7950X 4.5 GHz 16-Core Processor,,$699.00,16,4.5,5.7,170,https://www.amazon.com/dp/B0BBHD5D8Y?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5800X3D 3.4 GHz 8-Core Processor,4.9,$399.99,8,3.4,4.5,105,https://www.amazon.com/dp/B09VCJ2SHD?tag=bgfg-pc-builder-us-20
Intel Core Ultra 9 285K 3.7 GHz 24-Core Processor,,,24,3.7,N/A,125,https://www.amazon.com/s?k=Intel+Core+Ultra+9+285K+3.7+GHz+24-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i7-14700KF 3.4 GHz 20-Core Processor,5.0,$392.59,20,3.4,5.6,125,https://www.amazon.com/dp/B0CGJC178L?tag=bgfg-pc-builder-us-20
Intel Core i5-14600KF 3.5 GHz 14-Core Processor,,$302.64,14,3.5,5.3,125,https://www.amazon.com/dp/B0CGJ4MLC8?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 4500 3.6 GHz 6-Core Processor,5.0,$125.00,6,3.6,4.1,65,https://www.amazon.com/dp/B09VCJN7HZ?tag=bgfg-pc-builder-us-20
Intel Core i5-13400F 2.5 GHz 10-Core Processor,5.0,$209.94,10,2.5,4.6,65,https://www.amazon.com/dp/B0BQ6BRL4T?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 7600X3D 4.1 GHz 6-Core Processor,5.0,,6,4.1,N/A,65,https://www.amazon.com/s?k=AMD+Ryzen+5+7600X3D+4.1+GHz+6-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i5-14400F 2.5 GHz 10-Core Processor,,$209.99,10,2.5,N/A,65,https://www.amazon.com/dp/B0CQ1Y7KHV?tag=bgfg-pc-builder-us-20
AMD Ryzen 9 5950X 3.4 GHz 16-Core Processor,5.0,$635.00,16,3.4,4.9,105,https://www.amazon.com/dp/B0815Y8J9N?tag=bgfg-pc-builder-us-20
Intel Core Ultra 7 265K 3.9 GHz 20-Core Processor,,,20,3.9,N/A,125,https://www.amazon.com/s?k=Intel+Core+Ultra+7+265K+3.9+GHz+20-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 5 8600G 4.3 GHz 6-Core Processor,,$229.00,6,4.3,N/A,65,https://www.amazon.com/s?k=AMD+Ryzen+5+8600G+4.3+GHz+6-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5700G 3.8 GHz 8-Core Processor,4.9,$239.00,8,3.8,4.6,65,https://www.amazon.com/dp/B091J3NYVF?tag=bgfg-pc-builder-us-20
Intel Core i9-14900KF 3.2 GHz 24-Core Processor,,$544.03,24,3.2,6.0,125,https://www.amazon.com/dp/B0CGJDBCTK?tag=bgfg-pc-builder-us-20
AMD Threadripper 3990X 2.9 GHz 64-Core Processor,5.0,$8390.00,64,2.9,4.3,280,https://www.amazon.com/dp/B0815SBQ9W?tag=bgfg-pc-builder-us-20
Intel Core i5-13600K 3.5 GHz 14-Core Processor,,$329.99,14,3.5,5.1,125,https://www.amazon.com/s?k=Intel+Core+i5-13600K+3.5+GHz+14-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 7 8700G 4.2 GHz 8-Core Processor,,$329.00,8,4.2,N/A,65,https://www.amazon.com/dp/B0CQ4JBKW3?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 8400F 4.2 GHz 6-Core Processor,,$195.84,6,4.2,N/A,65,https://www.amazon.com/dp/B0D2JD6P86?tag=bgfg-pc-builder-us-20
AMD Ryzen 9 7900X3D 4.4 GHz 12-Core Processor,,$670.00,12,4.4,5.6,120,https://www.amazon.com/dp/B0BTRRNK7T?tag=bgfg-pc-builder-us-20
Intel Core i9-14900KS 3.2 GHz 24-Core Processor,,$649.98,24,3.2,N/A,150,https://www.amazon.com/dp/B0CXHMTHWP?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5700 3.7 GHz 8-Core Processor,,,8,3.7,N/A,65,https://www.amazon.com/s?k=AMD+Ryzen+7+5700+3.7+GHz+8-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Xeon E5-2690 V4 2.6 GHz 14-Core Processor,5.0,$245.52,14,2.6,3.5,135,https://www.amazon.com/dp/B01BRCKNWY?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 7500F 3.7 GHz 6-Core OEM/Tray Processor,,,6,3.7,N/A,65,https://www.amazon.com/s?k=AMD+Ryzen+5+7500F+3.7+GHz+6-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 5 2600 3.4 GHz 6-Core Processor,4.9,$82.00,6,3.4,3.9,65,https://www.amazon.com/dp/B07B41WS48?tag=bgfg-pc-builder-us-20
Intel Core i7-9700K 3.6 GHz 8-Core Processor,4.8,$450.00,8,3.6,4.9,95,https://www.amazon.com/dp/B07HHN6KBZ?tag=bgfg-pc-builder-us-20
Intel Core i9-13900K 3 GHz 24-Core Processor,,$659.99,24,3.0,5.8,125,https://www.amazon.com/s?k=Intel+Core+i9-13900K+3+GHz+24-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 3 3200G 3.6 GHz Quad-Core Processor,4.8,$92.99,4,3.6,4.0,65,https://www.amazon.com/dp/B07STGHZK8?tag=bgfg-pc-builder-us-20
Intel Core i5-10400F 2.9 GHz 6-Core Processor,4.9,$133.00,6,2.9,4.3,65,https://www.amazon.com/dp/B086MHSTWN?tag=bgfg-pc-builder-us-20
Intel Core i5-13600KF 3.5 GHz 14-Core Processor,,$309.99,14,3.5,5.1,125,https://www.amazon.com/s?k=Intel+Core+i5-13600KF+3.5+GHz+14-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i7-8700K 3.7 GHz 6-Core Processor,4.9,$330.00,6,3.7,4.7,95,https://www.amazon.com/dp/B07598VZR8?tag=bgfg-pc-builder-us-20
AMD Ryzen 9 7900 3.6 GHz 12-Core Processor,5.0,$427.99,12,3.6,5.4,65,https://www.amazon.com/dp/B0BMQK718H?tag=bgfg-pc-builder-us-20
Intel Core i7-14700F 2.1 GHz 20-Core Processor,,$369.99,20,2.1,N/A,65,https://www.amazon.com/dp/B0CQ1P2TRN?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 8700F 4.1 GHz 8-Core Processor,,$269.00,8,4.1,N/A,65,https://www.amazon.com/dp/B0D2JCMP34?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 5500GT 3.6 GHz 6-Core Processor,,$125.00,6,3.6,N/A,65,https://www.amazon.com/dp/B0CQ4H1B5B?tag=bgfg-pc-builder-us-20
Intel Core i5-12400 2.5 GHz 6-Core Processor,4.9,$193.95,6,2.5,4.4,65,https://www.amazon.com/dp/B09NMPD8V2?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 3600X 3.8 GHz 6-Core Processor,4.9,$138.48,6,3.8,4.4,95,https://www.amazon.com/dp/B07SQBFN2D?tag=bgfg-pc-builder-us-20
Intel Core i9-12900KF 3.2 GHz 16-Core Processor,5.0,$533.91,16,3.2,5.2,125,https://www.amazon.com/dp/B09FWYK5M9?tag=bgfg-pc-builder-us-20
AMD Ryzen 3 4100 3.8 GHz Quad-Core Processor,,$119.99,4,3.8,4.0,65,https://www.amazon.com/dp/B09VCRQVWM?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 2700X 3.7 GHz 8-Core Processor,4.9,$254.99,8,3.7,4.3,105,https://www.amazon.com/dp/B07B428M7F?tag=bgfg-pc-builder-us-20
Intel Core i9-9900K 3.6 GHz 8-Core Processor,4.9,$480.00,8,3.6,5.0,95,https://www.amazon.com/dp/B005404P9I?tag=bgfg-pc-builder-us-20
AMD Ryzen 9 3900X 3.8 GHz 12-Core Processor,4.9,$345.00,12,3.8,4.6,105,https://www.amazon.com/dp/B07SXMZLP9?tag=bgfg-pc-builder-us-20
Intel Core Ultra 5 245K 4.2 GHz 14-Core Processor,,,14,4.2,N/A,125,https://www.amazon.com/s?k=Intel+Core+Ultra+5+245K+4.2+GHz+14-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 5 5600GT 3.6 GHz 6-Core Processor,,$140.00,6,3.6,N/A,65,https://www.amazon.com/dp/B0CQ4DTJYX?tag=bgfg-pc-builder-us-20
Intel Core i7-7700K 4.2 GHz Quad-Core Processor,4.7,$375.00,4,4.2,4.5,91,https://www.amazon.com/dp/B01MXSI216?tag=bgfg-pc-builder-us-20
Intel Core i3-14100F 3.5 GHz Quad-Core Processor,,$119.99,4,3.5,N/A,58,https://www.amazon.com/dp/B0CQ1MN1Y2?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 3800X 3.9 GHz 8-Core Processor,4.8,$239.99,8,3.9,4.5,105,https://www.amazon.com/dp/B07SXMZLPJ?tag=bgfg-pc-builder-us-20
Intel Core i7-10700K 3.8 GHz 8-Core Processor,4.8,$265.99,8,3.8,5.1,125,https://www.amazon.com/dp/B086ML4XSB?tag=bgfg-pc-builder-us-20
Intel Core i5-9400F 2.9 GHz 6-Core Processor,4.5,$144.75,6,2.9,4.1,65,https://www.amazon.com/dp/B07MRCGQQ4?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5800XT 3.8 GHz 8-Core Processor,,$249.00,8,3.8,N/A,105,https://www.amazon.com/dp/B0D6NNDQ92?tag=bgfg-pc-builder-us-20
Intel Core i7-6700K 4 GHz Quad-Core Processor,4.9,$260.00,4,4.0,4.2,91,https://www.amazon.com/dp/B012M8LXQW?tag=bgfg-pc-builder-us-20
