name,rating,price,fan rpm,noise level,color,link
ID-COOLING DASHFLOW 360 56.5 CFM Liquid CPU Cooler,,,900 - 2000 RPM,16 - 31.5 dB,Black,https://www.amazon.com/s?k=ID-COOLING+DASHFLOW+360+56.5+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master Vortex 211P 38.3 CFM CPU Cooler,,,2200 RPM,N/A,N/A,https://www.amazon.com/s?k=Cooler+Master+Vortex+211P+38.3+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master Vortex 211Q 27.5 CFM CPU Cooler,,,1500 RPM,N/A,N/A,https://www.amazon.com/s?k=Cooler+Master+Vortex+211Q+27.5+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master X Dream P115 52 CFM CPU Cooler,,,900 - 4000 RPM,19 - 36 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+X+Dream+P115+52+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Enermax AQUAFUSION ADV 79.8 CFM Liquid CPU Cooler,,$79.99,500 - 2000 RPM,17 - 32.6 dB,White,https://www.amazon.com/s?k=Enermax+AQUAFUSION+ADV+79.8+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Jonsbo PISA A4 81.27 CFM CPU Cooler,,,800 - 1850 RPM,36.8 dB,White,https://www.amazon.com/s?k=Jonsbo+PISA+A4+81.27+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Noua Siberus TR240 75 CFM Liquid CPU Cooler,,,800 - 1800 RPM,25 - 32 dB,Black,https://www.amazon.com/s?k=Noua+Siberus+TR240+75+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Noua Polaris LM240 80.1 CFM Liquid CPU Cooler,,,2200 RPM,38 dB,Black / White,https://www.amazon.com/s?k=Noua+Polaris+LM240+80.1+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Noua Disturbia 68.5 CFM CPU Cooler,,,800 - 1600 RPM,37.8 dB,Black / Silver,https://www.amazon.com/s?k=Noua+Disturbia+68.5+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Noua Ena 73.59 CFM CPU Cooler,,,800 - 1800 RPM,28 dB,Black / Silver,https://www.amazon.com/s?k=Noua+Ena+73.59+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Noua Numb Pro 72.5 CFM CPU Cooler,,,800 - 1600 RPM,29 dB,Black,https://www.amazon.com/s?k=Noua+Numb+Pro+72.5+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Noua Vex CPU Cooler,,,1500 RPM,N/A,Black / Silver,https://www.amazon.com/s?k=Noua+Vex+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright Frozen Magic EX 82 CFM Liquid CPU Cooler,,,1850 RPM,29.6 dB,Black,https://www.amazon.com/s?k=Thermalright+Frozen+Magic+EX+82+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Geometric Future Eskimo Junior 24 69.11 CFM Liquid CPU Cooler,,,2000 RPM,29 dB,White,https://www.amazon.com/s?k=Geometric+Future+Eskimo+Junior+24+69.11+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
ID-COOLING IS-30i 40 CFM CPU Cooler,,,800 - 3600 RPM,17 - 35.8 dB,Black / Silver,https://www.amazon.com/s?k=ID-COOLING+IS-30i+40+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
ID-COOLING FX120 76.16 CFM Liquid CPU Cooler,,,500 - 1800 RPM,35.2 dB,Black,https://www.amazon.com/s?k=ID-COOLING+FX120+76.16+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
ID-COOLING FX360 76.16 CFM Liquid CPU Cooler,,,700 - 1800 RPM,35.2 dB,Black,https://www.amazon.com/s?k=ID-COOLING+FX360+76.16+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
ID-COOLING ZOOMFLOW XT ELITE 56.5 CFM Liquid CPU Cooler,,,900 - 2000 RPM,16.2 - 31.5 dB,Black,https://www.amazon.com/s?k=ID-COOLING+ZOOMFLOW+XT+ELITE+56.5+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
ID-COOLING SE-206-XT 76.16 CFM CPU Cooler,,,700 - 1800 RPM,35.2 dB,Black / Silver,https://www.amazon.com/s?k=ID-COOLING+SE-206-XT+76.16+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
ID-COOLING SE-214-XT HAFF 68.2 CFM CPU Cooler,,,800 - 1500 RPM,30.5 dB,Black,https://www.amazon.com/s?k=ID-COOLING+SE-214-XT+HAFF+68.2+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
ID-COOLING SE-223i 61.5 CFM CPU Cooler,,,500 - 1800 RPM,28 dB,Black,https://www.amazon.com/s?k=ID-COOLING+SE-223i+61.5+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
GAMDIAS BOREAS M2-510 72.94 CFM CPU Cooler,,,800 - 1800 RPM,10 - 32 dB,White,https://www.amazon.com/s?k=GAMDIAS+BOREAS+M2-510+72.94+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Geometric Future Prawn 61.8 CFM CPU Cooler,,$68.84,2000 RPM,29.8 dB,Black / Silver,https://www.amazon.com/dp/B0D41S4MW8?tag=bgfg-pc-builder-us-20
SilentiumPC Spartan 4 MAX EVO ARGB CPU Cooler,,,300 - 1600 RPM,N/A,N/A,https://www.amazon.com/s?k=SilentiumPC+Spartan+4+MAX+EVO+ARGB+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright Frost Vortex SE 90.4 CFM CPU Cooler,,,1650 RPM,29 dB,Black,https://www.amazon.com/s?k=Thermalright+Frost+Vortex+SE+90.4+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Jonsbo CR-1400 V2 ARGB 38.2 CFM CPU Cooler,,,800 - 2200 RPM,22.3 - 33.8 dB,Black,https://www.amazon.com/s?k=Jonsbo+CR-1400+V2+ARGB+38.2+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Dynatron R13 2.45 CFM Ball Bearing CPU Cooler,,$51.73,1100 - 6000 RPM,19.1 - 53.8 dB,N/A,https://www.amazon.com/dp/B008765M3E?tag=bgfg-pc-builder-us-20
Gelid Solutions Slim Silence 775 21 CFM Ball Bearing CPU Cooler,,,1100 - 2300 RPM,15 - 24.5 dB,N/A,https://www.amazon.com/s?k=Gelid+Solutions+Slim+Silence+775+21+CFM+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Prolimatech PRO-GNSS CPU Cooler,,$128.74,800 - 1600 RPM,N/A,N/A,https://www.amazon.com/dp/B004O28OTE?tag=bgfg-pc-builder-us-20
Antec KUHLER Shelf CPU Cooler,,,N/A,N/A,N/A,https://www.amazon.com/s?k=Antec+KUHLER+Shelf+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master DI5-8E5PA-0L-GP Sleeve Bearing CPU Cooler,,,2800 RPM,22 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+DI5-8E5PA-0L-GP+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master GeminII S 69.69 CFM Sleeve Bearing CPU Cooler,5.0,,1000 - 2000 RPM,17 - 21 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+GeminII+S+69.69+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master RR-H101-22FK-RA 30 CFM Sleeve Bearing CPU Cooler,4.4,,2200 RPM,22 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+RR-H101-22FK-RA+30+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master RR-V6SV-22PR-R1 93.74 CFM CPU Cooler,,,800 - 2200 RPM,15 - 38 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+RR-V6SV-22PR-R1+93.74+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Evercool CI01-9525EP 47.74 CFM CPU Cooler,,,900 - 2600 RPM,12 - 31 dB,N/A,https://www.amazon.com/s?k=Evercool+CI01-9525EP+47.74+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake A4012-02 32.4 CFM Ball Bearing CPU Cooler,,,2500 RPM,21 dB,N/A,https://www.amazon.com/s?k=Thermaltake+A4012-02+32.4+CFM+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake A4021 38.7 CFM CPU Cooler,,$24.99,2200 RPM,18 dB,N/A,https://www.amazon.com/dp/B000EMYF4G?tag=bgfg-pc-builder-us-20
Thermaltake A4022 35.43 CFM CPU Cooler,,,1300 RPM,N/A,N/A,https://www.amazon.com/s?k=Thermaltake+A4022+35.43+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CL-P0401 86.5 CFM CPU Cooler,4.0,$59.95,1300 - 2000 RPM,16 - 24 dB,N/A,https://www.amazon.com/dp/B000PTIX50?tag=bgfg-pc-builder-us-20
Thermaltake CL-P0497 49.2 CFM Rifle Bearing CPU Cooler,3.5,,2500 RPM,27 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CL-P0497+49.2+CFM+Rifle+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CLP0527 38.9 CFM CPU Cooler,,,800 - 1700 RPM,16 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CLP0527+38.9+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CLP0554 86.5 CFM Sleeve Bearing CPU Cooler,4.0,,1000 - 1600 RPM,19 - 28 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CLP0554+86.5+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CLP0579 72.08 CFM CPU Cooler,,,800 - 2000 RPM,15 - 33.2 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CLP0579+72.08+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS 7500 Cu LED Ball Bearing CPU Cooler,,,1150 - 2300 RPM,17 - 32 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS+7500+Cu+LED+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS 8700 NT Ball Bearing CPU Cooler,,,1150 - 2100 RPM,17.5 - 30 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS+8700+NT+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CL-P0508 86.5 CFM CPU Cooler,,,1300 - 2000 RPM,16 - 24 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CL-P0508+86.5+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CLP0574 42 CFM CPU Cooler,,,800 - 1300 RPM,16 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CLP0574+42+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Scythe SCBSK-1000 38.04 CFM CPU Cooler,,,650 - 2200 RPM,N/A,N/A,https://www.amazon.com/s?k=Scythe+SCBSK-1000+38.04+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS9900NT Ball Bearing CPU Cooler,,,1000 - 2000 RPM,19.5 - 38 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS9900NT+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Evercool HPJ-12025 38.14 CFM CPU Cooler,,,1000 RPM,21 dB,N/A,https://www.amazon.com/s?k=Evercool+HPJ-12025+38.14+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Masscool 8W553B1M3 41.15 CFM Ball Bearing CPU Cooler,,$69.95,2400 RPM,26.2 dB,N/A,https://www.amazon.com/dp/B000OCUS7Y?tag=bgfg-pc-builder-us-20
Rosewill RCX-Z1 57.2 CFM Ball Bearing CPU Cooler,4.8,$19.98,1700 - 3100 RPM,18 - 33.4 dB,N/A,https://www.amazon.com/dp/B002CT0YQW?tag=bgfg-pc-builder-us-20
Rosewill RCX-Z300 CPU Cooler,4.4,,N/A,N/A,N/A,https://www.amazon.com/s?k=Rosewill+RCX-Z300+CPU+Cooler&tag=bgfg-pc-builder-us-20
Rosewill RCX-Z80-AL 33.21 CFM Sleeve Bearing CPU Cooler,,,2500 RPM,22.41 dB,N/A,https://www.amazon.com/s?k=Rosewill+RCX-Z80-AL+33.21+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Rosewill RCX-Z90-CP 62.5 CFM Sleeve Bearing CPU Cooler,5.0,$29.88,600 - 3000 RPM,13.5 - 26.5 dB,N/A,https://www.amazon.com/dp/B004Q7C146?tag=bgfg-pc-builder-us-20
StarTech FANK8AM2 CPU Cooler,,,2600 RPM,28 dB,N/A,https://www.amazon.com/s?k=StarTech+FANK8AM2+CPU+Cooler&tag=bgfg-pc-builder-us-20
Xigmatek Dark Knight S1283V 89.45 CFM CPU Cooler,,,1000 - 2200 RPM,30.1 dB,N/A,https://www.amazon.com/s?k=Xigmatek+Dark+Knight+S1283V+89.45+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Xigmatek EP-CD901 61.25 CFM Sleeve Bearing CPU Cooler,,,1200 - 2500 RPM,28 dB,N/A,https://www.amazon.com/s?k=Xigmatek+EP-CD901+61.25+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Xigmatek HDT-D1284 56.3 CFM Rifle Bearing CPU Cooler,,,800 - 1500 RPM,27.2 dB,N/A,https://www.amazon.com/s?k=Xigmatek+HDT-D1284+56.3+CFM+Rifle+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Xigmatek HDT-S963 54.6 CFM Rifle Bearing CPU Cooler,,,1200 - 2800 RPM,23 - 35 dB,N/A,https://www.amazon.com/s?k=Xigmatek+HDT-S963+54.6+CFM+Rifle+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Xigmatek LOKI SD963 52 CFM CPU Cooler,4.0,,1200 - 2800 RPM,20 - 28 dB,N/A,https://www.amazon.com/s?k=Xigmatek+LOKI+SD963+52+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Xigmatek Cobra - D984 54.6 CFM CPU Cooler,5.0,,1000 - 2800 RPM,20 - 28 dB,N/A,https://www.amazon.com/s?k=Xigmatek+Cobra+-+D984+54.6+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS11X Extreme CPU Cooler,3.0,,1000 - 1950 RPM,17 - 33 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS11X+Extreme+CPU+Cooler&tag=bgfg-pc-builder-us-20
Evercool NI01-9525EP CPU Cooler,,,2600 RPM,33 dB,N/A,https://www.amazon.com/s?k=Evercool+NI01-9525EP+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CL-P0101 63.51 CFM Ball Bearing CPU Cooler,,,600 - 3700 RPM,15 - 46.5 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CL-P0101+63.51+CFM+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CL-P0326 71.79 CFM CPU Cooler,,,4200 RPM,44 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CL-P0326+71.79+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Evercool HPI-12025 CPU Cooler,,,1200 - 1800 RPM,23 - 30 dB,N/A,https://www.amazon.com/s?k=Evercool+HPI-12025+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS7X LED CPU Cooler,3.0,,1250 - 1950 RPM,17 - 25 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS7X+LED+CPU+Cooler&tag=bgfg-pc-builder-us-20
Xigmatek Prime SD1484 90.3 CFM Sleeve Bearing CPU Cooler,,,800 - 1200 RPM,18 dB,N/A,https://www.amazon.com/s?k=Xigmatek+Prime+SD1484+90.3+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
TUNIQ T-120-LFB CPU Cooler,,,1000 - 2000 RPM,N/A,N/A,https://www.amazon.com/s?k=TUNIQ+T-120-LFB+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright Venomous X - RT 50 CFM CPU Cooler,,,1300 RPM,24.1 dB,N/A,https://www.amazon.com/s?k=Thermalright+Venomous+X+-+RT+50+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Corsair H70 Core Liquid CPU Cooler,,,N/A,N/A,N/A,https://www.amazon.com/s?k=Corsair+H70+Core+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master GeminII S524 77.7 CFM Sleeve Bearing CPU Cooler,4.2,,800 - 1800 RPM,15.1 - 31.6 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+GeminII+S524+77.7+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Evercool HPKC-10025EA CPU Cooler,5.0,,1800 RPM,23 dB,N/A,https://www.amazon.com/s?k=Evercool+HPKC-10025EA+CPU+Cooler&tag=bgfg-pc-builder-us-20
Gelid Solutions Slim Silence I-Plus 25.8 CFM Ball Bearing CPU Cooler,,,1200 - 2600 RPM,15 - 27.8 dB,N/A,https://www.amazon.com/s?k=Gelid+Solutions+Slim+Silence+I-Plus+25.8+CFM+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS7700ALCULED Ball Bearing CPU Cooler,,,1000 - 2000 RPM,22.7 - 37.1 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS7700ALCULED+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Enermax ETS-T40-VD 75.98 CFM CPU Cooler,4.2,,800 - 1800 RPM,16 - 21 dB,N/A,https://www.amazon.com/s?k=Enermax+ETS-T40-VD+75.98+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Syba CL-CNL-EOLE802 40.9 CFM CPU Cooler,,,2200 RPM,25 dB,N/A,https://www.amazon.com/s?k=Syba+CL-CNL-EOLE802+40.9+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Scythe SCNJ-3100 110.31 CFM CPU Cooler,,,470 - 1900 RPM,7.05 - 37 dB,N/A,https://www.amazon.com/s?k=Scythe+SCNJ-3100+110.31+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Scythe SCBSK-2000 45.47 CFM Sleeve Bearing CPU Cooler,,,N/A,9.32 - 33.67 dB,N/A,https://www.amazon.com/s?k=Scythe+SCBSK-2000+45.47+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Logisys IC231PWM CPU Cooler,,,900 - 2400 RPM,17.8 - 32.5 dB,N/A,https://www.amazon.com/s?k=Logisys+IC231PWM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Logisys IC211HTPC CPU Cooler,,,2600 RPM,28 dB,N/A,https://www.amazon.com/s?k=Logisys+IC211HTPC+CPU+Cooler&tag=bgfg-pc-builder-us-20
Logisys MC6002GS 66.3 CFM CPU Cooler,,,500 - 1500 RPM,17.6 - 27.6 dB,N/A,https://www.amazon.com/s?k=Logisys+MC6002GS+66.3+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Logisys MC2001IE 22.6 CFM CPU Cooler,,,2200 RPM,23.4 dB,N/A,https://www.amazon.com/s?k=Logisys+MC2001IE+22.6+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
SilenX EFZ-120HA3 102 CFM Fluid Dynamic Bearing CPU Cooler,,,800 - 2000 RPM,N/A,N/A,https://www.amazon.com/s?k=SilenX+EFZ-120HA3+102+CFM+Fluid+Dynamic+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Phanteks PH-TC14PE_OR 78.1 CFM CPU Cooler,,,700 - 1200 RPM,13.4 - 19 dB,N/A,https://www.amazon.com/s?k=Phanteks+PH-TC14PE_OR+78.1+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Phanteks PH-TC14PE_RD 78.1 CFM CPU Cooler,4.4,,700 - 1200 RPM,13.4 - 19 dB,N/A,https://www.amazon.com/s?k=Phanteks+PH-TC14PE_RD+78.1+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Masscool 7WA868 93.74 CFM CPU Cooler,,,800 - 2800 RPM,19 - 27 dB,N/A,https://www.amazon.com/s?k=Masscool+7WA868+93.74+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CLP0600 45.4 CFM CPU Cooler,4.0,,1000 - 2400 RPM,19.3 - 30 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CLP0600+45.4+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Silverstone SST-HE01 171 CFM Ball Bearing CPU Cooler,,,500 - 2000 RPM,18 - 41 dB,N/A,https://www.amazon.com/s?k=Silverstone+SST-HE01+171+CFM+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS8000B CPU Cooler,,,1400 - 2800 RPM,20 - 32 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS8000B+CPU+Cooler&tag=bgfg-pc-builder-us-20
Masscool 8W2002F1M4 51.2 CFM CPU Cooler,,,800 - 2800 RPM,20 - 34 dB,N/A,https://www.amazon.com/s?k=Masscool+8W2002F1M4+51.2+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
SilenX EFZ-120HA5 86 CFM Fluid Dynamic Bearing CPU Cooler,5.0,,1600 RPM,8 - 24 dB,N/A,https://www.amazon.com/s?k=SilenX+EFZ-120HA5+86+CFM+Fluid+Dynamic+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Scythe SCKC-2100 69.93 CFM CPU Cooler,,,500 - 1300 RPM,9.6 - 24.7 dB,N/A,https://www.amazon.com/s?k=Scythe+SCKC-2100+69.93+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Prolimatech PRO-MGH-B Fanless CPU Cooler,,,N/A,N/A,N/A,https://www.amazon.com/s?k=Prolimatech+PRO-MGH-B+Fanless+CPU+Cooler&tag=bgfg-pc-builder-us-20
Evercool TTC-NK35TZ/RPW/V3 49.37 CFM CPU Cooler,,,900 - 2800 RPM,12 - 31 dB,N/A,https://www.amazon.com/s?k=Evercool+TTC-NK35TZ%2FRPW%2FV3+49.37+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
ARCTIC Freezer A30 74 CFM Fluid Dynamic Bearing CPU Cooler,5.0,,400 - 1350 RPM,N/A,N/A,https://www.amazon.com/s?k=ARCTIC+Freezer+A30+74+CFM+Fluid+Dynamic+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Scythe SCMG-3100 88.11 CFM CPU Cooler,4.0,,300 - 1600 RPM,9.6 - 32.15 dB,N/A,https://www.amazon.com/s?k=Scythe+SCMG-3100+88.11+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Phanteks PH-TC14CS_BL 78.09 CFM CPU Cooler,,,700 RPM,13.4 - 19 dB,N/A,https://www.amazon.com/s?k=Phanteks+PH-TC14CS_BL+78.09+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
NZXT Respire T40 68.8 CFM Sleeve Bearing CPU Cooler,4.6,,1300 - 1800 RPM,26.5 - 34 dB,N/A,https://www.amazon.com/s?k=NZXT+Respire+T40+68.8+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman LQ-315 Liquid CPU Cooler,4.5,,900 - 2000 RPM,N/A,N/A,https://www.amazon.com/s?k=Zalman+LQ-315+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Prolimatech Megahalems (No Fans) Fanless CPU Cooler,5.0,,N/A,N/A,N/A,https://www.amazon.com/s?k=Prolimatech+Megahalems+%28No+Fans%29+Fanless+CPU+Cooler&tag=bgfg-pc-builder-us-20
Swiftech H220 55 CFM Liquid CPU Cooler,4.2,,1200 - 3000 RPM,16 - 33 dB,N/A,https://www.amazon.com/s?k=Swiftech+H220+55+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master Eisberg 120L Prestige 60.2 CFM Liquid CPU Cooler,3.0,,1600 RPM,20.5 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+Eisberg+120L+Prestige+60.2+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master RR-T612-20PK-R1 82.9 CFM Rifle Bearing CPU Cooler,4.7,,2000 RPM,9 - 36 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+RR-T612-20PK-R1+82.9+CFM+Rifle+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master RR-T812-24PK-R2 86.15 CFM Sleeve Bearing CPU Cooler,,,600 - 2400 RPM,19 - 40 dB,N/A,https://www.amazon.com/s?k=Cooler+Master+RR-T812-24PK-R2+86.15+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Silverstone AR02 56 CFM CPU Cooler,4.0,,1200 - 2800 RPM,16 - 24 dB,N/A,https://www.amazon.com/s?k=Silverstone+AR02+56+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Rosewill ROCC-13001 60 CFM Sleeve Bearing CPU Cooler,,,2000 RPM,19.39 - 31.05 dB,N/A,https://www.amazon.com/s?k=Rosewill+ROCC-13001+60+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Silverstone TD02 92.5 CFM Liquid CPU Cooler,,,1500 - 2500 RPM,16 - 33.5 dB,N/A,https://www.amazon.com/s?k=Silverstone+TD02+92.5+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS90F CPU Cooler,,,2300 RPM,29 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS90F+CPU+Cooler&tag=bgfg-pc-builder-us-20
Dynatron R12 Fanless CPU Cooler,,$34.99,N/A,0 dB,N/A,https://www.amazon.com/dp/B005NBLMHQ?tag=bgfg-pc-builder-us-20
Dynatron R17 43.36 CFM Ball Bearing CPU Cooler,,,1000 - 2500 RPM,17 - 31.92 dB,N/A,https://www.amazon.com/s?k=Dynatron+R17+43.36+CFM+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright TS-140 73.6 CFM CPU Cooler,4.0,,900 - 1300 RPM,17 - 21 dB,N/A,https://www.amazon.com/s?k=Thermalright+TS-140+73.6+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Scythe SCKC-3000 97.18 CFM CPU Cooler,4.0,,500 - 1300 RPM,13 - 30.7 dB,N/A,https://www.amazon.com/s?k=Scythe+SCKC-3000+97.18+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Xigmatek Praeton LD963 48 CFM CPU Cooler,,,1200 - 2800 RPM,22 dB,N/A,https://www.amazon.com/s?k=Xigmatek+Praeton+LD963+48+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Enermax ELC-LM120S-TAA 105.7 CFM Liquid CPU Cooler,,,2500 RPM,30 dB,N/A,https://www.amazon.com/s?k=Enermax+ELC-LM120S-TAA+105.7+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Enermax Liqtech 240 111 CFM Liquid CPU Cooler,4.7,,2500 RPM,30 dB,N/A,https://www.amazon.com/s?k=Enermax+Liqtech+240+111+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Enermax ETS-N30-TAA 50.8 CFM CPU Cooler,,,800 - 2800 RPM,16 - 27 dB,N/A,https://www.amazon.com/s?k=Enermax+ETS-N30-TAA+50.8+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
