name,rating,price,fan rpm,noise level,color,link
Corsair iCUE H100i ELITE CAPELLIX XT 65.57 CFM Liquid CPU Cooler,5.0,$164.99,550 - 2100 RPM,5 - 34.1 dB,White,https://www.amazon.com/dp/B0BQJ4VNT1?tag=bgfg-pc-builder-us-20
Noctua NH-U12S chromax.black 55 CFM CPU Cooler,4.9,$79.95,300 - 1500 RPM,18.6 - 22.4 dB,Black,https://www.amazon.com/dp/B07Y88BNYZ?tag=bgfg-pc-builder-us-20
Thermalright Assassin Spirit 120 EVO 68.9 CFM CPU Cooler,,$22.90,2000 RPM,28.2 dB,Black,https://www.amazon.com/dp/B0CJBZXVGY?tag=bgfg-pc-builder-us-20
Thermalright Assassin King SE ARGB 66.17 CFM CPU Cooler,,$27.90,1550 RPM,25.6 dB,White,https://www.amazon.com/dp/B0B7CZJGY7?tag=bgfg-pc-builder-us-20
NZXT Kraken 360 RGB 78.02 CFM Liquid CPU Cooler,4.0,$229.51,500 - 1800 RPM,17.9 - 30.6 dB,White,https://www.amazon.com/dp/B0BY3GTG48?tag=bgfg-pc-builder-us-20
Corsair iCUE H100i RGB ELITE 65.57 CFM Liquid CPU Cooler,4.0,$139.99,400 - 1850 RPM,19 - 35.8 dB,Black,https://www.amazon.com/s?k=Corsair+iCUE+H100i+RGB+ELITE+65.57+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright Frozen Notte ARGB 72.37 CFM Liquid CPU Cooler,,$67.90,2000 RPM,27.7 dB,Black,https://www.amazon.com/dp/B0BDJYXM2Y?tag=bgfg-pc-builder-us-20
ID-COOLING FROZN A620 PRO SE 58 CFM CPU Cooler,,$29.99,300 - 2000 RPM,27.2 dB,Black,https://www.amazon.com/dp/B0D1CGL7D1?tag=bgfg-pc-builder-us-20
Cooler Master Hyper 212 (2023) 70.7 CFM CPU Cooler,,$43.99,690 - 2500 RPM,32.8 dB,Black,https://www.amazon.com/dp/B07H25DYM3?tag=bgfg-pc-builder-us-20
ARCTIC Liquid Freezer III 72.8 CFM Liquid CPU Cooler,,$98.55,200 - 1700 RPM,N/A,Black,https://www.amazon.com/dp/B09VH34TB8?tag=bgfg-pc-builder-us-20
Corsair iCUE LINK H100i RGB 63.1 CFM Liquid CPU Cooler,,$199.99,480 - 2400 RPM,N/A,Black,https://www.amazon.com/s?k=Corsair+iCUE+LINK+H100i+RGB+63.1+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Corsair iCUE H150i ELITE CAPELLIX XT 65.57 CFM Liquid CPU Cooler,4.5,$215.80,550 - 2100 RPM,N/A,White,https://www.amazon.com/dp/B0BQJ44PGK?tag=bgfg-pc-builder-us-20
ARCTIC Freezer 36 CPU Cooler,,$28.48,200 - 1800 RPM,N/A,Black,https://www.amazon.com/dp/B09VH14935?tag=bgfg-pc-builder-us-20
Thermalright Aqua Elite V3 66.17 CFM Liquid CPU Cooler,,$68.90,1500 RPM,25.6 dB,White,https://www.amazon.com/dp/B0CDPMBV9K?tag=bgfg-pc-builder-us-20
Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid CPU Cooler,,$274.27,2100 RPM,29 dB,White,https://www.amazon.com/dp/B0CBV7LM9C?tag=bgfg-pc-builder-us-20
Lian Li HydroShift LCD 360TL RGB 79.9 CFM Liquid CPU Cooler,,$259.89,200 - 2600 RPM,33 dB,Black,https://www.amazon.com/dp/B0D83N7D3P?tag=bgfg-pc-builder-us-20
Noctua NH-U12A chromax.black 60.09 CFM CPU Cooler,4.9,$119.95,450 - 2000 RPM,18.8 - 22.6 dB,Black,https://www.amazon.com/dp/B098XP1Y38?tag=bgfg-pc-builder-us-20
Thermalright Aqua Elite V3 66.17 CFM Liquid CPU Cooler,,$48.90,1500 RPM,25.6 dB,Black,https://www.amazon.com/dp/B0CCNS5NZ9?tag=bgfg-pc-builder-us-20
Corsair iCUE LINK TITAN360 RX RGB 73.5 CFM Liquid CPU Cooler,,,300 - 2100 RPM,N/A,Black,https://www.amazon.com/s?k=Corsair+iCUE+LINK+TITAN360+RX+RGB+73.5+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
ARCTIC Liquid Freezer III 72.8 CFM Liquid CPU Cooler,3.0,$86.23,200 - 1700 RPM,N/A,Black,https://www.amazon.com/dp/B09VGXMTK4?tag=bgfg-pc-builder-us-20
Thermalright Frozen Notte ARGB 72.37 CFM Liquid CPU Cooler,,$67.90,2000 RPM,27.7 dB,White,https://www.amazon.com/dp/B0BDK4R8NC?tag=bgfg-pc-builder-us-20
ID-COOLING FROZN A410 BLACK 78.25 CFM CPU Cooler,,$29.99,500 - 2000 RPM,29.85 dB,Black,https://www.amazon.com/dp/B0CFQ7P8PB?tag=bgfg-pc-builder-us-20
Noctua NH-L9A-AM5 CHROMAX.BLACK 33.84 CFM CPU Cooler,,$54.95,600 - 2500 RPM,14.8 - 23.6 dB,Black,https://www.amazon.com/dp/B0BNLB8VXS?tag=bgfg-pc-builder-us-20
Noctua NH-L9a-AM4 33.84 CFM CPU Cooler,4.9,$44.95,600 - 2500 RPM,14.8 - 23.6 dB,Brown,https://www.amazon.com/dp/B075SG1T3X?tag=bgfg-pc-builder-us-20
Intel E97379-001 CPU Cooler,3.5,$12.59,1200 - 2800 RPM,22 dB,Silver / Black,https://www.amazon.com/dp/B004XJNC0O?tag=bgfg-pc-builder-us-20
Thermalright Assassin X Refined SE ARGB 66.17 CFM CPU Cooler,,$22.90,1550 RPM,25.6 dB,Black / Silver,https://www.amazon.com/dp/B09LHLS4V4?tag=bgfg-pc-builder-us-20
Noctua NH-L9x65 chromax.black 33.84 CFM CPU Cooler,,$69.90,600 - 2500 RPM,14.8 - 23.6 dB,Black,https://www.amazon.com/dp/B0CKVZ2NZ1?tag=bgfg-pc-builder-us-20
NZXT Kraken 360 RGB 78.02 CFM Liquid CPU Cooler,5.0,$219.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,https://www.amazon.com/dp/B0BY3FD274?tag=bgfg-pc-builder-us-20
Cooler Master MASTERLIQUID ML240L RGB V2 65.59 CFM Liquid CPU Cooler,4.4,$99.99,650 - 1800 RPM,6 - 27 dB,Black,https://www.amazon.com/dp/B086BYYFG5?tag=bgfg-pc-builder-us-20
Asus ROG Ryujin III ARGB 70.07 CFM Liquid CPU Cooler,,$610.00,600 - 2200 RPM,36.45 dB,Black,https://www.amazon.com/dp/B0BYMQJ8CF?tag=bgfg-pc-builder-us-20
ID-COOLING SE-214-XT 68.2 CFM CPU Cooler,4.8,$19.99,500 - 1500 RPM,13.8 - 30.5 dB,White,https://www.amazon.com/dp/B09Q7XVZ2V?tag=bgfg-pc-builder-us-20
be quiet! Pure Rock Slim 2 CPU Cooler,3.1,$26.90,N/A,13.1 - 25.4 dB,Black / Silver,https://www.amazon.com/dp/B08YRN1621?tag=bgfg-pc-builder-us-20
NZXT Kraken 240 RGB 78.02 CFM Liquid CPU Cooler,4.5,$179.99,500 - 1800 RPM,17.9 - 30.6 dB,White,https://www.amazon.com/dp/B0BY3H3TQR?tag=bgfg-pc-builder-us-20
Thermalright Peerless Assassin 120 SE 66.17 CFM CPU Cooler,4.5,$39.90,1550 RPM,25.6 dB,Black,https://www.amazon.com/dp/B0BCJ68F9M?tag=bgfg-pc-builder-us-20
Iceberg Thermal IceFLOE T95 41 CFM CPU Cooler,,,1000 - 2200 RPM,32.3 dB,Teal / Silver,https://www.amazon.com/s?k=Iceberg+Thermal+IceFLOE+T95+41+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
NZXT Kraken Elite 360 78.02 CFM Liquid CPU Cooler,5.0,$279.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,https://www.amazon.com/dp/B0BY3JPVZY?tag=bgfg-pc-builder-us-20
Thermalright Peerless Assassin 120 SE WHITE ARGB 66.17 CFM CPU Cooler,,,1550 RPM,25.6 dB,White,https://www.amazon.com/s?k=Thermalright+Peerless+Assassin+120+SE+WHITE+ARGB+66.17+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
