name,rating,price,chipset,memory,core clock,boost clock,color,length,link
Colorful iGame Advanced OC-V GeForce RTX 3070 8 GB Graphics Card,,,GeForce RTX 3070,8 GB,1500 MHz,1815 MHz,Silver / Black,316 mm,https://www.amazon.com/s?k=Colorful+iGame+Advanced+OC-V+GeForce+RTX+3070+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
PNY RTX A-Series RTX A4500 20 GB Graphics Card,,$1050.00,RTX A4500,20 GB,1050 MHz,1650 MHz,Black,267 mm,https://www.amazon.com/dp/B09S9VWQK1?tag=bgfg-pc-builder-us-20
XFX GTS Radeon RX 580 8 GB Graphics Card,4.7,,Radeon RX 580,8 GB,1257 MHz,1405 MHz,Black / Red,270 mm,https://www.amazon.com/s?k=XFX+GTS+Radeon+RX+580+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Intel 23P04E00BA Arc Pro A60 12 GB Video Card,,,Arc Pro A60,12 GB,900 MHz,2050 MHz,Black,241 mm,https://www.amazon.com/s?k=Intel+23P04E00BA+Arc+Pro+A60+12+GB+Video+Card&tag=bgfg-pc-builder-us-20
Gigabyte AORUS MASTER GeForce RTX 4070 12 GB Video Card,,$659.99,GeForce RTX 4070,12 GB,1920 MHz,2595 MHz,Black,342 mm,https://www.amazon.com/dp/B0C278SMPT?tag=bgfg-pc-builder-us-20
MSI ARMOR GeForce RTX 2070 8 GB Graphics Card,4.6,,GeForce RTX 2070,8 GB,1410 MHz,1620 MHz,Black / Silver,309 mm,https://www.amazon.com/s?k=MSI+ARMOR+GeForce+RTX+2070+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Gigabyte VISION OC Rev 2.0 GeForce RTX 3070 LHR 8 GB Graphics Card,4.8,$549.99,GeForce RTX 3070 LHR,8 GB,1500 MHz,1815 MHz,Silver / White,286 mm,https://www.amazon.com/s?k=Gigabyte+VISION+OC+Rev+2.0+GeForce+RTX+3070+LHR+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
MSI GAMING X GeForce GTX 1060 3GB 3 GB Graphics Card,4.7,,GeForce GTX 1060 3GB,3 GB,1594 MHz,1809 MHz,Black / Red,277 mm,https://www.amazon.com/s?k=MSI+GAMING+X+GeForce+GTX+1060+3GB+3+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
PowerColor AXRX 580 8GBD5-3DHDV2/OC Radeon RX 580 8 GB Graphics Card,4.4,,Radeon RX 580,8 GB,1257 MHz,1350 MHz,Black,255 mm,https://www.amazon.com/s?k=PowerColor+AXRX+580+8GBD5-3DHDV2%2FOC+Radeon+RX+580+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Palit GamingPro OC GeForce GTX 1660 SUPER 6 GB Graphics Card,4.0,,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,N/A,235 mm,https://www.amazon.com/s?k=Palit+GamingPro+OC+GeForce+GTX+1660+SUPER+6+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Asus DUAL OC Radeon RX 6700 XT 12 GB Video Card,5.0,$544.24,Radeon RX 6700 XT,12 GB,2321 MHz,2622 MHz,Black / Silver,295 mm,https://www.amazon.com/dp/B09J84XCLG?tag=bgfg-pc-builder-us-20
MSI VENTUS 2X BLACK GeForce RTX 4060 8 GB Video Card,,$299.99,GeForce RTX 4060,8 GB,1830 MHz,2475 MHz,Black,199 mm,https://www.amazon.com/dp/B0CBL3G8ZY?tag=bgfg-pc-builder-us-20
ASRock Challenger ITX Radeon RX 6400 4 GB Graphics Card,,$149.99,Radeon RX 6400,4 GB,1923 MHz,N/A,Black / Silver,162 mm,https://www.amazon.com/dp/B09YRXYDTT?tag=bgfg-pc-builder-us-20
Asus GT730-SL-2GD3-BRK GeForce GT 730 2 GB Graphics Card,,$132.88,GeForce GT 730,2 GB,902 MHz,N/A,Black,137 mm,https://www.amazon.com/dp/B00L4B7W0U?tag=bgfg-pc-builder-us-20
AMD 100-300000077 Radeon PRO W7600 8 GB Video Card,,,Radeon PRO W7600,8 GB,1720 MHz,2440 MHz,Black,241 mm,https://www.amazon.com/s?k=AMD+100-300000077+Radeon+PRO+W7600+8+GB+Video+Card&tag=bgfg-pc-builder-us-20
Gigabyte AORUS MASTER Radeon RX 6800 XT 16 GB Graphics Card,,$1773.00,Radeon RX 6800 XT,16 GB,1825 MHz,2310 MHz,Black,324 mm,https://www.amazon.com/dp/B08R411ZH3?tag=bgfg-pc-builder-us-20
GALAX EX GeForce GTX 1650 SUPER 4 GB Graphics Card,4.5,,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1740 MHz,Black,212 mm,https://www.amazon.com/s?k=GALAX+EX+GeForce+GTX+1650+SUPER+4+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Asus ROG STRIX GAMING GeForce RTX 3070 Ti 8 GB Graphics Card,5.0,,GeForce RTX 3070 Ti,8 GB,1575 MHz,N/A,Black / Silver,318 mm,https://www.amazon.com/s?k=Asus+ROG+STRIX+GAMING+GeForce+RTX+3070+Ti+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Sapphire NITRO+ Radeon RX VEGA 64 8 GB Graphics Card,4.9,,Radeon RX VEGA 64,8 GB,1373 MHz,1580 MHz,Black / Silver,310 mm,https://www.amazon.com/s?k=Sapphire+NITRO%2B+Radeon+RX+VEGA+64+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
MSI Radeon RX 590 ARMOR 8G OC Radeon RX 590 8 GB Graphics Card,5.0,,Radeon RX 590,8 GB,1469 MHz,1565 MHz,Black / White,278 mm,https://www.amazon.com/s?k=MSI+Radeon+RX+590+ARMOR+8G+OC+Radeon+RX+590+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
MSI TRI FROZR GeForce RTX 2070 8 GB Graphics Card,5.0,,GeForce RTX 2070,8 GB,1410 MHz,1620 MHz,Black,304 mm,https://www.amazon.com/s?k=MSI+TRI+FROZR+GeForce+RTX+2070+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
EVGA Superclocked GeForce GT 740 2 GB Graphics Card,4.5,,GeForce GT 740,2 GB,1059 MHz,N/A,Black / White,153 mm,https://www.amazon.com/s?k=EVGA+Superclocked+GeForce+GT+740+2+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Yeston Sakura GeForce RTX 3080 10GB 10 GB Video Card,,,GeForce RTX 3080 10GB,10 GB,1440 MHz,1710 MHz,Purple / Blue,301 mm,https://www.amazon.com/s?k=Yeston+Sakura+GeForce+RTX+3080+10GB+10+GB+Video+Card&tag=bgfg-pc-builder-us-20
Asus DUAL GeForce RTX 4070 Ti SUPER 16 GB Video Card,,,GeForce RTX 4070 Ti SUPER,16 GB,2340 MHz,2640 MHz,Black,267 mm,https://www.amazon.com/s?k=Asus+DUAL+GeForce+RTX+4070+Ti+SUPER+16+GB+Video+Card&tag=bgfg-pc-builder-us-20
AMD 100-506157 Radeon PRO W6800 32 GB Video Card,,$1815.99,Radeon PRO W6800,32 GB,2075 MHz,2320 MHz,Blue / Gray,267 mm,https://www.amazon.com/dp/B09831VKQ7?tag=bgfg-pc-builder-us-20
XFX RX-580P427D6 Radeon RX 580 4 GB Graphics Card,,,Radeon RX 580,4 GB,1366 MHz,1386 MHz,Black / Red,270 mm,https://www.amazon.com/s?k=XFX+RX-580P427D6+Radeon+RX+580+4+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Gigabyte GV-N730D5-2GL GeForce GT 730 2 GB Graphics Card,,$115.88,GeForce GT 730,2 GB,902 MHz,N/A,Black,150 mm,https://www.amazon.com/dp/B076CBB8CV?tag=bgfg-pc-builder-us-20
PNY UPRISING GeForce RTX 3070 8 GB Graphics Card,,,GeForce RTX 3070,8 GB,1500 MHz,1725 MHz,Black,265 mm,https://www.amazon.com/s?k=PNY+UPRISING+GeForce+RTX+3070+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
MSI GAMING Z TRIO GeForce RTX 3060 Ti LHR 8 GB Graphics Card,5.0,,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1845 MHz,Black / Gray,323 mm,https://www.amazon.com/s?k=MSI+GAMING+Z+TRIO+GeForce+RTX+3060+Ti+LHR+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
EVGA ACX GeForce GTX 760 2 GB Graphics Card,4.8,,GeForce GTX 760,2 GB,980 MHz,N/A,Black / Silver,241 mm,https://www.amazon.com/s?k=EVGA+ACX+GeForce+GTX+760+2+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
