name,rating,price,modules,price/gb,color,first word latency,cas latency,link
Mushkin 971643A 2 GB (1 x 2 GB) DDR3-1066 SODIMM CL7 Memory,,,1 x 2GB,N/A,Black / Blue,13.133 ns,13.133 ns,https://www.amazon.com/s?k=Mushkin+971643A+2+GB+%281+x+2+GB%29+DDR3-1066+SODIMM+CL7+Memory&tag=bgfg-pc-builder-us-20
Mushkin 971644A 4 GB (1 x 4 GB) DDR3-1066 SODIMM CL7 Memory,,,1 x 4GB,N/A,Black / Blue,13.133 ns,13.133 ns,https://www.amazon.com/s?k=Mushkin+971644A+4+GB+%281+x+4+GB%29+DDR3-1066+SODIMM+CL7+Memory&tag=bgfg-pc-builder-us-20
Mushkin 971699A 2 GB (1 x 2 GB) DDR3-1066 CL7 Memory,,$22.33,1 x 2GB,$11.165,Black / Green,13.133 ns,13.133 ns,https://www.amazon.com/dp/B004G7XQ4A?tag=bgfg-pc-builder-us-20
Mushkin 971980A 16 GB (1 x 16 GB) Registered DDR3-1333 CL9 Memory,,,1 x 16GB,N/A,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Mushkin+971980A+16+GB+%281+x+16+GB%29+Registered+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Mushkin 972020A 8 GB (1 x 8 GB) DDR3-1333 SODIMM CL9 Memory,,,1 x 8GB,N/A,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Mushkin+972020A+8+GB+%281+x+8+GB%29+DDR3-1333+SODIMM+CL9+Memory&tag=bgfg-pc-builder-us-20
Mushkin 972038A 8 GB (1 x 8 GB) DDR3-1600 SODIMM CL11 Memory,,,1 x 8GB,N/A,Black / Green,13.75 ns,13.75 ns,https://www.amazon.com/s?k=Mushkin+972038A+8+GB+%281+x+8+GB%29+DDR3-1600+SODIMM+CL11+Memory&tag=bgfg-pc-builder-us-20
Mushkin 972044A 8 GB (1 x 8 GB) DDR3-1333 CL9 Memory,,,1 x 8GB,N/A,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Mushkin+972044A+8+GB+%281+x+8+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Mushkin 973980A 64 GB (4 x 16 GB) Registered DDR3-1333 CL9 Memory,,,4 x 16GB,N/A,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Mushkin+973980A+64+GB+%284+x+16+GB%29+Registered+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Mushkin 974044A 32 GB (4 x 8 GB) DDR3-1333 CL9 Memory,,,4 x 8GB,N/A,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Mushkin+974044A+32+GB+%284+x+8+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Mushkin 976504A 2 GB (2 x 1 GB) DDR2-667 SODIMM CL5 Memory,,,2 x 1GB,N/A,Black / Green,14.993 ns,14.993 ns,https://www.amazon.com/s?k=Mushkin+976504A+2+GB+%282+x+1+GB%29+DDR2-667+SODIMM+CL5+Memory&tag=bgfg-pc-builder-us-20
Mushkin 976539A 4 GB (2 x 2 GB) DDR2-667 CL5 Memory,,,2 x 2GB,N/A,Black / Green,14.993 ns,14.993 ns,https://www.amazon.com/s?k=Mushkin+976539A+4+GB+%282+x+2+GB%29+DDR2-667+CL5+Memory&tag=bgfg-pc-builder-us-20
Mushkin 977020A 16 GB (2 x 8 GB) DDR3-1333 SODIMM CL9 Memory,,$50.99,2 x 8GB,$3.187,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/dp/B008SIFR5Y?tag=bgfg-pc-builder-us-20
Mushkin 977033A 8 GB (2 x 4 GB) DDR3-1600 SODIMM CL11 Memory,,,2 x 4GB,N/A,Black / Green,13.75 ns,13.75 ns,https://www.amazon.com/s?k=Mushkin+977033A+8+GB+%282+x+4+GB%29+DDR3-1600+SODIMM+CL11+Memory&tag=bgfg-pc-builder-us-20
Patriot Mac 16 GB (2 x 8 GB) DDR3-1333 SODIMM CL9 Memory,,,2 x 8GB,N/A,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Patriot+Mac+16+GB+%282+x+8+GB%29+DDR3-1333+SODIMM+CL9+Memory&tag=bgfg-pc-builder-us-20
Mushkin Essentials 16 GB (2 x 8 GB) DDR3-1600 SODIMM CL11 Memory,,$50.99,2 x 8GB,$3.187,Black / Green,13.75 ns,13.75 ns,https://www.amazon.com/dp/B008SINH88?tag=bgfg-pc-builder-us-20
Mushkin 976647A 8 GB (2 x 4 GB) DDR3-1333 SODIMM CL9 Memory,,$32.99,2 x 4GB,$4.124,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/dp/B004G7ZNY6?tag=bgfg-pc-builder-us-20
Corsair Vengeance Pro 16 GB (4 x 4 GB) DDR3-2800 CL12 Memory,,$229.99,4 x 4GB,$14.374,Black / Red,8.571 ns,8.571 ns,https://www.amazon.com/s?k=Corsair+Vengeance+Pro+16+GB+%284+x+4+GB%29+DDR3-2800+CL12+Memory&tag=bgfg-pc-builder-us-20
Corsair Vengeance Pro 16 GB (4 x 4 GB) DDR3-2933 CL12 Memory,,$254.99,4 x 4GB,$15.937,Black / Red,8.183 ns,8.183 ns,https://www.amazon.com/s?k=Corsair+Vengeance+Pro+16+GB+%284+x+4+GB%29+DDR3-2933+CL12+Memory&tag=bgfg-pc-builder-us-20
Corsair Vengeance Pro 8 GB (2 x 4 GB) DDR3-3000 CL12 Memory,,,2 x 4GB,N/A,Black / Red,8 ns,8 ns,https://www.amazon.com/s?k=Corsair+Vengeance+Pro+8+GB+%282+x+4+GB%29+DDR3-3000+CL12+Memory&tag=bgfg-pc-builder-us-20
Corsair Vengeance Pro 8 GB (2 x 4 GB) DDR3-2666 CL11 Memory,,$184.99,2 x 4GB,$23.124,Black / Red,8.252 ns,8.252 ns,https://www.amazon.com/s?k=Corsair+Vengeance+Pro+8+GB+%282+x+4+GB%29+DDR3-2666+CL11+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO Leggera 2 GB (1 x 2 GB) DDR3-1333 CL9 Memory,,,1 x 2GB,N/A,Black / Blue,13.503 ns,13.503 ns,https://www.amazon.com/s?k=GeIL+EVO+Leggera+2+GB+%281+x+2+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO Leggera 2 GB (1 x 2 GB) DDR3-1600 CL9 Memory,,,1 x 2GB,N/A,Black / Blue,11.25 ns,11.25 ns,https://www.amazon.com/s?k=GeIL+EVO+Leggera+2+GB+%281+x+2+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO Leggara 8 GB (2 x 4 GB) DDR3-1333 CL9 Memory,,,2 x 4GB,N/A,Black / Blue,13.503 ns,13.503 ns,https://www.amazon.com/s?k=GeIL+EVO+Leggara+8+GB+%282+x+4+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO VELOCE 2 GB (1 x 2 GB) DDR3-1333 CL9 Memory,,,1 x 2GB,N/A,Red / White,13.503 ns,13.503 ns,https://www.amazon.com/s?k=GeIL+EVO+VELOCE+2+GB+%281+x+2+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO VELOCE 2 GB (1 x 2 GB) DDR3-1600 CL9 Memory,,,1 x 2GB,N/A,Red / White,11.25 ns,11.25 ns,https://www.amazon.com/s?k=GeIL+EVO+VELOCE+2+GB+%281+x+2+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL Green 8 GB (2 x 4 GB) DDR3-1333 CL9 Memory,,$83.08,2 x 4GB,$10.385,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/dp/B005FJM1TE?tag=bgfg-pc-builder-us-20
GeIL Green 4 GB (1 x 4 GB) DDR3-1333 SODIMM CL9 Memory,,,1 x 4GB,N/A,Black / Green,13.503 ns,13.503 ns,https://www.amazon.com/s?k=GeIL+Green+4+GB+%281+x+4+GB%29+DDR3-1333+SODIMM+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO CORSA 8 GB (1 x 8 GB) DDR3-1600 CL9 Memory,,,1 x 8GB,N/A,Black / Yellow,11.25 ns,11.25 ns,https://www.amazon.com/s?k=GeIL+EVO+CORSA+8+GB+%281+x+8+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO POTENZA 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory,,,2 x 8GB,N/A,Black / Red,11.25 ns,11.25 ns,https://www.amazon.com/s?k=GeIL+EVO+POTENZA+16+GB+%282+x+8+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO POTENZA 4 GB (1 x 4 GB) DDR3-1600 CL9 Memory,,,1 x 4GB,N/A,Black / Red,11.25 ns,11.25 ns,https://www.amazon.com/s?k=GeIL+EVO+POTENZA+4+GB+%281+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO POTENZA 8 GB (2 x 4 GB) DDR3-1333 CL9 Memory,,,2 x 4GB,N/A,Black / Red,13.503 ns,13.503 ns,https://www.amazon.com/s?k=GeIL+EVO+POTENZA+8+GB+%282+x+4+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO POTENZA 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory,4.5,,2 x 4GB,N/A,Black / Red,11.25 ns,11.25 ns,https://www.amazon.com/s?k=GeIL+EVO+POTENZA+8+GB+%282+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO POTENZA 8 GB (2 x 4 GB) DDR3-1866 CL9 Memory,,,2 x 4GB,N/A,Black / Red,9.646 ns,9.646 ns,https://www.amazon.com/s?k=GeIL+EVO+POTENZA+8+GB+%282+x+4+GB%29+DDR3-1866+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO POTENZA 16 GB (2 x 8 GB) DDR3-1333 CL9 Memory,,,2 x 8GB,N/A,Black / White,13.503 ns,13.503 ns,https://www.amazon.com/s?k=GeIL+EVO+POTENZA+16+GB+%282+x+8+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO POTENZA 4 GB (1 x 4 GB) DDR3-1333 CL9 Memory,,,1 x 4GB,N/A,Black / White,13.503 ns,13.503 ns,https://www.amazon.com/s?k=GeIL+EVO+POTENZA+4+GB+%281+x+4+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
GeIL EVO POTENZA 4 GB (1 x 4 GB) DDR3-1600 CL9 Memory,,,1 x 4GB,N/A,Black / White,11.25 ns,11.25 ns,https://www.amazon.com/s?k=GeIL+EVO+POTENZA+4+GB+%281+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP Xtreem Dark 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory,,,4 x 4GB,N/A,N/A,11.25 ns,11.25 ns,https://www.amazon.com/s?k=TEAMGROUP+Xtreem+Dark+16+GB+%284+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP TXD316G1866HC9KQC-D 16 GB (4 x 4 GB) DDR3-1866 CL9 Memory,,,4 x 4GB,N/A,N/A,9.646 ns,9.646 ns,https://www.amazon.com/s?k=TEAMGROUP+TXD316G1866HC9KQC-D+16+GB+%284+x+4+GB%29+DDR3-1866+CL9+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP TXD316G2133HC11QC-L 16 GB (4 x 4 GB) DDR3-2133 CL11 Memory,,,4 x 4GB,N/A,N/A,10.314 ns,10.314 ns,https://www.amazon.com/s?k=TEAMGROUP+TXD316G2133HC11QC-L+16+GB+%284+x+4+GB%29+DDR3-2133+CL11+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP TXD316G2133HC9NQC-L 16 GB (4 x 4 GB) DDR3-2133 CL9 Memory,,,4 x 4GB,N/A,N/A,8.439 ns,8.439 ns,https://www.amazon.com/s?k=TEAMGROUP+TXD316G2133HC9NQC-L+16+GB+%284+x+4+GB%29+DDR3-2133+CL9+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP Xtreem LV 16 GB (2 x 8 GB) DDR3-2400 CL10 Memory,4.8,,2 x 8GB,N/A,N/A,8.333 ns,8.333 ns,https://www.amazon.com/s?k=TEAMGROUP+Xtreem+LV+16+GB+%282+x+8+GB%29+DDR3-2400+CL10+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP Xtreem 16 GB (2 x 8 GB) DDR3-2666 CL11 Memory,5.0,,2 x 8GB,N/A,N/A,8.252 ns,8.252 ns,https://www.amazon.com/s?k=TEAMGROUP+Xtreem+16+GB+%282+x+8+GB%29+DDR3-2666+CL11+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP Xtreem Dark 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory,4.8,,2 x 4GB,N/A,Black / Silver,11.25 ns,11.25 ns,https://www.amazon.com/s?k=TEAMGROUP+Xtreem+Dark+8+GB+%282+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP Xtreem LV 8 GB (2 x 4 GB) DDR3-2400 CL10 Memory,,,2 x 4GB,N/A,N/A,8.333 ns,8.333 ns,https://www.amazon.com/s?k=TEAMGROUP+Xtreem+LV+8+GB+%282+x+4+GB%29+DDR3-2400+CL10+Memory&tag=bgfg-pc-builder-us-20
TEAMGROUP Xtreem 8 GB (2 x 4 GB) DDR3-2666 CL11 Memory,,,2 x 4GB,N/A,Black / Red,8.252 ns,8.252 ns,https://www.amazon.com/s?k=TEAMGROUP+Xtreem+8+GB+%282+x+4+GB%29+DDR3-2666+CL11+Memory&tag=bgfg-pc-builder-us-20
Avexir Core 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory,,,2 x 4GB,N/A,Black / Red,11.25 ns,11.25 ns,https://www.amazon.com/s?k=Avexir+Core+8+GB+%282+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
Avexir Core 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory,,,2 x 4GB,N/A,Black / Yellow,11.25 ns,11.25 ns,https://www.amazon.com/s?k=Avexir+Core+8+GB+%282+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
G.Skill Trident X 16 GB (4 x 4 GB) DDR3-2933 CL12 Memory,,,4 x 4GB,N/A,N/A,8.183 ns,8.183 ns,https://www.amazon.com/s?k=G.Skill+Trident+X+16+GB+%284+x+4+GB%29+DDR3-2933+CL12+Memory&tag=bgfg-pc-builder-us-20
Patriot Viper 3 16 GB (2 x 8 GB) DDR3-2133 CL11 Memory,,,2 x 8GB,N/A,N/A,10.314 ns,10.314 ns,https://www.amazon.com/s?k=Patriot+Viper+3+16+GB+%282+x+8+GB%29+DDR3-2133+CL11+Memory&tag=bgfg-pc-builder-us-20
